chrom,start,stop,factor,0,strand
2,61041,61051,SFP1,0,-
2,60913,60923,RAP1,0,+
2,75066,75079,ABF1,0,-
2,84354,84362,GCN4,0,+
2,86622,86636,HSF1,0,+
2,86697,86708,SNT2,0,-
2,88431,88437,MET31,0,+
2,88090,88096,MET31,0,-
2,88211,88217,MET31,0,+
2,101353,101363,UME6,0,-
2,101316,101330,PUT3,0,-
2,107603,107610,STE12,0,-
2,107603,107609,DIG1,0,-
2,132303,132311,REB1,0,+
2,135862,135869,HAP4,0,+
2,135738,135748,HAP1,0,+
2,136557,136564,RTG3,0,-
2,136429,136435,SUT1,0,+
2,136384,136391,SOK2,0,+
2,146013,146026,ABF1,0,-
2,151353,151361,REB1,0,-
2,153805,153812,MBP1,0,+
2,153829,153836,MBP1,0,-
2,159818,159827,YAP1,0,-
2,162754,162761,TYE7,0,+
2,164283,164290,HAP4,0,+
2,164303,164310,HAP4,0,-
2,165177,165185,YAP6,0,-
2,165385,165393,YAP6,0,+
2,165197,165203,SUT1,0,-
2,165158,165164,SUT1,0,+
2,165479,165485,SUT1,0,+
2,165121,165127,SUT1,0,+
2,164906,164912,SUT1,0,-
2,165151,165161,ROX1,0,-
2,166064,166071,SOK2,0,+
2,165105,165111,PHD1,0,-
2,165569,165575,PHD1,0,-
2,165569,165576,NRG1,0,+
2,164951,164957,SWI6,0,+
2,165321,165327,SWI6,0,-
2,165458,165464,SWI6,0,+
2,165771,165779,SKO1,0,-
2,181499,181509,RAP1,0,-
2,181468,181478,RPN4,0,-
2,191905,191912,STE12,0,-
2,192191,192198,STE12,0,+
2,192297,192304,STE12,0,-
2,191912,191919,TYE7,0,-
2,192254,192261,TEC1,0,-
2,192192,192198,DIG1,0,+
2,192297,192303,DIG1,0,-
2,192356,192362,DIG1,0,-
2,193605,193615,UME6,0,-
2,193698,193708,UME6,0,+
2,209272,209282,CAD1,0,+
2,216544,216557,ABF1,0,-
2,217248,217256,PDR3,0,-
2,217281,217289,PDR3,0,-
2,254350,254359,YAP7,0,-
2,254369,254378,YAP7,0,+
2,254566,254575,YAP7,0,+
2,254441,254450,CIN5,0,-
2,255900,255912,FKH2,0,-
2,270120,270126,RDS1,0,+
2,274099,274108,SUM1,0,+
2,275701,275719,GAL4,0,+
2,275729,275736,NRG1,0,-
2,278585,278603,GAL4,0,+
2,278567,278584,GAL80,0,-
2,278586,278603,GAL80,0,-
2,278604,278621,GAL80,0,-
2,288094,288101,STE12,0,-
2,292412,292420,YAP6,0,-
2,292381,292388,XBP1,0,+
2,297896,297905,INO4,0,+
2,297938,297951,ABF1,0,+
2,297868,297876,FKH1,0,+
2,297896,297905,INO2,0,+
2,311679,311691,FKH2,0,+
2,315363,315371,CBF1,0,-
2,315379,315386,HAP4,0,-
2,315364,315371,TYE7,0,-
2,315379,315384,HAP3,0,-
2,316562,316569,STE12,0,-
2,316749,316756,STE12,0,+
2,316794,316801,STE12,0,-
2,316582,316588,DIG1,0,-
2,316794,316800,DIG1,0,-
2,316750,316756,DIG1,0,+
2,316562,316568,DIG1,0,-
2,316655,316663,ARR1,0,+
2,324276,324283,STP1,0,+
2,324299,324307,GCN4,0,-
2,326510,326516,PHO2,0,+
2,326472,326478,PHO2,0,+
2,331646,331655,STB4,0,-
2,332540,332550,SFP1,0,+
2,332524,332534,FHL1,0,+
2,332796,332802,PHO2,0,+
2,337101,337109,CBF1,0,-
2,337044,337054,RPN4,0,+
2,341150,341159,CIN5,0,+
2,341860,341869,CIN5,0,-
2,342643,342652,CIN5,0,-
2,342773,342782,CIN5,0,-
2,341824,341832,SKN7,0,+
2,341452,341464,FKH2,0,-
2,353415,353421,YAP5,0,+
2,353425,353431,YAP5,0,-
2,363490,363497,STE12,0,+
2,364256,364263,STE12,0,+
2,364061,364067,DIG1,0,-
2,362726,362732,DIG1,0,-
2,364257,364263,DIG1,0,+
2,364170,364176,DIG1,0,+
2,363491,363497,DIG1,0,+
2,371190,371197,NRG1,0,+
2,371692,371699,NRG1,0,+
2,371782,371789,NRG1,0,+
2,370986,370993,STE12,0,-
2,371185,371193,SKN7,0,+
2,373141,373147,PHD1,0,-
2,373007,373013,PHD1,0,-
2,373569,373575,PHD1,0,-
2,373543,373549,PHD1,0,-
2,376312,376321,YAP7,0,+
2,375892,375900,GCN4,0,+
2,376063,376073,LEU3,0,-
2,378854,378860,SUT1,0,+
2,380077,380084,SWI4,0,-
2,380095,380102,SWI4,0,+
2,380123,380130,SWI4,0,-
2,380232,380239,SWI4,0,+
2,381159,381173,HSF1,0,+
2,381672,381686,HSF1,0,+
2,381173,381182,CIN5,0,+
2,381371,381377,MSN4,0,-
2,381700,381706,MSN4,0,+
2,392643,392651,SKN7,0,+
2,392558,392565,AFT2,0,-
2,392604,392611,MBP1,0,+
2,392670,392677,MBP1,0,-
2,392699,392711,FKH2,0,-
2,392467,392480,ABF1,0,-
2,392671,392677,SWI6,0,+
2,392604,392610,SWI6,0,-
2,392703,392711,FKH1,0,-
2,392895,392905,NDD1,0,+
2,392594,392604,NDD1,0,-
2,401005,401018,ABF1,0,+
2,407415,407423,CBF1,0,+
2,408653,408660,STE12,0,+
2,408772,408779,STE12,0,+
2,409003,409010,STE12,0,-
2,409068,409075,STE12,0,-
2,408813,408820,STE12,0,-
2,408773,408779,DIG1,0,+
2,409003,409009,DIG1,0,-
2,409068,409074,DIG1,0,-
2,408813,408819,DIG1,0,-
2,408654,408660,DIG1,0,+
2,408918,408924,DIG1,0,+
2,407259,407265,DIG1,0,+
2,407669,407676,TEC1,0,+
2,407684,407691,TEC1,0,-
2,407700,407707,TEC1,0,+
2,408722,408729,TEC1,0,-
2,407785,407792,TEC1,0,+
2,408762,408769,TEC1,0,+
2,408837,408844,TEC1,0,+
2,407812,407819,TEC1,0,+
2,419935,419941,MSN2,0,+
2,419786,419792,MSN2,0,+
2,419515,419521,MSN2,0,+
2,419260,419266,MSN2,0,+
2,419749,419755,PHO2,0,+
2,419311,419319,SKN7,0,+
2,419801,419809,SKN7,0,-
2,423673,423682,DAL82,0,+
2,423196,423203,GCR2,0,-
2,429304,429319,THI2,0,+
2,429213,429225,FKH2,0,+
2,431069,431081,FKH2,0,+
2,435813,435821,REB1,0,-
2,443681,443689,SPT23,0,+
2,444845,444859,HSF1,0,+
2,444873,444886,ABF1,0,-
2,458481,458488,STB2,0,+
2,458518,458531,ABF1,0,-
2,458724,458737,ABF1,0,-
2,458551,458558,CST6,0,+
2,466451,466457,PHD1,0,+
2,466130,466137,SWI4,0,-
2,466428,466435,SWI4,0,-
2,474107,474115,GCN4,0,+
2,476765,476775,FHL1,0,+
2,477229,477239,FHL1,0,+
2,477210,477220,FHL1,0,+
2,495462,495475,ABF1,0,+
2,497021,497029,REB1,0,+
2,501693,501700,AFT2,0,+
2,501705,501712,AFT2,0,-
2,504659,504666,TYE7,0,-
2,504675,504682,TYE7,0,-
2,512834,512845,YDR520C,0,-
2,515470,515478,FKH1,0,+
2,515518,515529,SNT2,0,+
2,515470,515482,FKH2,0,+
2,532381,532392,SNT2,0,+
2,536428,536436,GCN4,0,+
2,537606,537615,SUM1,0,+
2,544643,544650,NRG1,0,-
2,553275,553282,STE12,0,-
2,553406,553413,STE12,0,-
2,555765,555771,SWI5,0,-
2,554830,554836,SWI5,0,-
2,555839,555845,SWI5,0,-
2,556074,556080,SWI5,0,-
2,555427,555433,SWI5,0,-
2,554571,554581,ROX1,0,+
2,556288,556294,PHD1,0,-
2,555707,555713,PHD1,0,-
2,555843,555849,PHD1,0,-
2,555947,555953,PHD1,0,+
2,554710,554717,STE12,0,-
2,554935,554942,STE12,0,-
2,556148,556155,STE12,0,+
2,556028,556035,STE12,0,+
2,556051,556058,STE12,0,+
2,555731,555738,STE12,0,+
2,554748,554755,NRG1,0,-
2,554872,554879,NRG1,0,-
2,554951,554958,NRG1,0,+
2,556235,556242,NRG1,0,+
2,554830,554838,ACE2,0,+
2,556074,556082,ACE2,0,+
2,555427,555435,ACE2,0,+
2,555708,555716,SKN7,0,+
2,554829,554837,SKN7,0,+
2,555840,555848,SKN7,0,-
2,554953,554961,SKN7,0,+
2,555369,555377,SKN7,0,+
2,554436,554446,RLM1,0,-
2,554925,554935,RLM1,0,+
2,556106,556118,FKH2,0,+
2,555907,555919,FKH2,0,-
2,558323,558331,ACE2,0,-
2,558300,558310,SPT2,0,-
2,558319,558329,SPT2,0,-
2,561127,561134,SWI4,0,-
2,565021,565027,PHD1,0,-
2,565057,565063,PHD1,0,-
2,564884,564890,PHD1,0,-
2,565035,565042,SWI4,0,-
2,565468,565476,FKH1,0,-
2,568645,568653,REB1,0,-
2,572201,572207,MSN2,0,+
2,572004,572011,CST6,0,+
2,572028,572035,CST6,0,+
2,572201,572207,MSN4,0,+
2,576214,576228,HSF1,0,-
2,578209,578217,REB1,0,-
2,589365,589374,YAP7,0,+
2,589288,589296,REB1,0,-
2,589593,589602,SUM1,0,-
2,593080,593090,RAP1,0,+
2,593063,593073,FHL1,0,-
2,593080,593090,FHL1,0,-
2,595155,595162,XBP1,0,-
2,597256,597266,UME6,0,+
2,604281,604291,SFP1,0,+
2,604297,604307,SFP1,0,+
2,604281,604291,FHL1,0,+
2,604297,604307,FHL1,0,+
2,604281,604291,RAP1,0,-
2,632098,632106,SPT23,0,+
2,634962,634969,RCS1,0,+
2,634962,634969,AFT2,0,+
2,647319,647332,ABF1,0,+
2,668533,668542,STB4,0,-
2,682046,682054,ACE2,0,-
2,681733,681743,RPN4,0,-
2,682040,682050,RPN4,0,+
2,691820,691828,REB1,0,-
2,697359,697365,PHO2,0,+
2,697970,697976,PHO2,0,+
2,697747,697753,PHO2,0,-
2,716597,716605,GCN4,0,-
2,716683,716691,GCN4,0,-
2,718532,718540,CBF1,0,-
2,718294,718302,GCN4,0,+
2,718850,718858,GCN4,0,+
2,727201,727209,CBF1,0,-
2,728183,728191,GCN4,0,-
2,767734,767741,MATA1,0,-
2,770730,770743,ABF1,0,+
2,771101,771111,UME6,0,+
2,798833,798839,PHO4,0,-
2,799095,799102,AFT2,0,+
3,17002,17012,GLN3,0,+
3,17211,17219,FKH1,0,-
3,17010,17019,CHA4,0,+
3,22214,22221,MBP1,0,+
3,22243,22250,MBP1,0,+
3,27625,27632,STE12,0,-
3,27783,27790,STE12,0,+
3,27806,27813,STE12,0,+
3,27828,27835,STE12,0,+
3,27829,27835,DIG1,0,+
3,27807,27813,DIG1,0,+
3,27784,27790,DIG1,0,+
3,29178,29185,SWI4,0,+
3,30093,30101,SPT23,0,+
3,29035,29043,SPT23,0,-
3,29086,29094,FKH1,0,-
3,29119,29127,FKH1,0,-
3,29526,29534,FKH1,0,-
3,29218,29226,ARR1,0,-
3,29082,29094,FKH2,0,-
3,29115,29127,FKH2,0,-
3,38986,39000,HSF1,0,-
3,41993,42002,SUM1,0,-
3,42063,42072,SUM1,0,+
3,58872,58882,FHL1,0,+
3,61332,61338,PHO4,0,-
3,65718,65731,ABF1,0,+
3,68487,68497,GLN3,0,+
3,68554,68560,PHO2,0,-
3,68524,68532,GCN4,0,-
3,68581,68589,GCN4,0,+
3,68569,68577,GCN4,0,+
3,68474,68482,GCN4,0,+
3,68569,68576,BAS1,0,+
3,68581,68588,BAS1,0,+
3,103490,103503,ABF1,0,-
3,137543,137549,MSN2,0,-
3,137394,137400,MSN2,0,-
3,137198,137205,TYE7,0,-
3,137568,137575,TYE7,0,-
3,149202,149209,NRG1,0,-
3,149243,149250,NRG1,0,+
3,149166,149173,RTG3,0,+
3,148960,148967,STE12,0,-
3,149075,149085,RLM1,0,-
3,149166,149172,ARG80,0,+
3,155943,155952,YAP7,0,-
3,155992,156000,SPT23,0,-
3,157761,157767,MSN2,0,+
3,158333,158339,PHO2,0,-
3,157118,157124,PHO2,0,+
3,157761,157767,MSN4,0,+
3,157910,157917,RCS1,0,-
3,158341,158349,YAP6,0,-
3,158340,158349,CIN5,0,-
3,167157,167163,DIG1,0,-
3,172769,172774,HAP3,0,-
3,179301,179309,REB1,0,+
3,178906,178914,REB1,0,-
3,205534,205542,REB1,0,-
3,216487,216500,ABF1,0,+
3,216565,216573,GCN4,0,+
3,216512,216520,GCN4,0,+
3,223407,223416,INO2,0,-
3,225306,225316,UME6,0,-
3,225326,225336,RPN4,0,+
3,228007,228013,SUT1,0,+
3,227946,227952,SUT1,0,-
3,228016,228021,OPI1,0,+
3,228904,228911,MBP1,0,+
3,228923,228930,MBP1,0,+
3,229034,229041,MBP1,0,+
3,228931,228938,MBP1,0,+
3,228986,228993,MBP1,0,+
3,229083,229089,PHD1,0,+
3,228906,228913,SWI4,0,-
3,228925,228932,SWI4,0,-
3,228938,228945,SWI4,0,-
3,228925,228933,STB1,0,-
3,228906,228914,STB1,0,-
3,228938,228946,STB1,0,-
3,228904,228910,SWI6,0,-
3,228931,228937,SWI6,0,-
3,228936,228942,SWI6,0,-
3,229034,229040,SWI6,0,-
3,228986,228992,SWI6,0,-
3,228923,228929,SWI6,0,-
3,229193,229203,NDD1,0,+
3,236966,236974,REB1,0,-
3,246845,246853,SKN7,0,+
3,248855,248863,FKH1,0,+
3,264894,264902,CBF1,0,-
3,264895,264902,TYE7,0,-
3,274189,274200,SNT2,0,-
3,279930,279938,CBF1,0,-
3,279991,280001,RPN4,0,-
3,280028,280036,FKH1,0,-
3,287980,287988,FKH1,0,-
3,287991,287999,FKH1,0,+
3,288009,288017,FKH1,0,-
4,30533,30540,GAT1,0,+
4,30614,30621,GAT1,0,-
4,30629,30636,GAT1,0,-
4,43786,43800,RFX1,0,-
4,50942,50948,SWI5,0,-
4,48055,48061,SWI5,0,-
4,48274,48281,SWI4,0,+
4,48423,48430,SWI4,0,+
4,48457,48464,SWI4,0,+
4,49000,49007,SWI4,0,-
4,48489,48496,SWI4,0,+
4,48782,48789,SWI4,0,+
4,48623,48630,SWI4,0,+
4,48815,48822,SWI4,0,+
4,48978,48985,SWI4,0,+
4,48885,48892,SWI4,0,+
4,52297,52303,SWI5,0,-
4,52212,52218,PHO2,0,+
4,52298,52306,REB1,0,+
4,54326,54334,SPT23,0,-
4,56799,56805,YAP5,0,-
4,56641,56647,YAP5,0,+
4,56466,56472,YAP5,0,+
4,74325,74335,GLN3,0,-
4,74256,74266,UME6,0,-
4,76997,77003,SUT1,0,-
4,77140,77146,SUT1,0,-
4,78091,78099,REB1,0,+
4,83874,83884,UME6,0,+
4,94071,94080,YAP7,0,-
4,104700,104708,GCN4,0,-
4,114473,114486,ABF1,0,-
4,114435,114445,UME6,0,-
4,116056,116062,MSN4,0,+
4,125283,125291,REB1,0,-
4,132748,132755,RTG3,0,-
4,132748,132756,GCN4,0,-
4,134869,134876,HAP4,0,-
4,134947,134954,HAP4,0,-
4,135471,135485,HSF1,0,+
4,137967,137973,SWI5,0,+
4,138011,138017,SWI5,0,+
4,147607,147613,SWI5,0,+
4,148152,148158,SWI5,0,+
4,148161,148167,SWI5,0,+
4,147767,147773,SWI5,0,-
4,148099,148105,SWI5,0,-
4,148066,148074,REB1,0,-
4,155861,155871,GLN3,0,+
4,155934,155944,GLN3,0,-
4,155966,155976,GLN3,0,-
4,156163,156172,DAL82,0,-
4,156206,156214,GCN4,0,+
4,155999,156007,GCN4,0,-
4,156122,156127,HAP3,0,-
4,156113,156120,HAP2,0,+
4,156122,156129,HAP2,0,-
4,176498,176506,REB1,0,-
4,178234,178242,IME1,0,+
4,178114,178121,AFT2,0,-
4,192390,192400,HAC1,0,-
4,198544,198557,ABF1,0,-
4,199868,199878,RPN4,0,+
4,211281,211289,REB1,0,+
4,211266,211274,REB1,0,+
4,215865,215873,REB1,0,-
4,234406,234412,DIG1,0,-
4,234720,234726,DIG1,0,-
4,234345,234351,DIG1,0,-
4,234702,234708,DIG1,0,-
4,234395,234402,TEC1,0,+
4,234412,234419,TEC1,0,-
4,234435,234442,TEC1,0,-
4,234323,234330,STE12,0,-
4,234406,234413,STE12,0,-
4,234738,234745,STE12,0,+
4,234452,234460,ACE2,0,-
4,234634,234642,ACE2,0,+
4,234075,234083,ACE2,0,-
4,234077,234083,SWI5,0,+
4,234565,234571,SWI5,0,-
4,234502,234508,SWI5,0,+
4,234185,234191,SWI5,0,+
4,234480,234486,SWI5,0,+
4,234454,234460,SWI5,0,+
4,234556,234563,SWI4,0,-
4,234554,234560,SWI6,0,-
4,234684,234690,SWI6,0,-
4,238811,238818,TEC1,0,-
4,240063,240072,YAP7,0,-
4,242163,242176,ABF1,0,+
4,247922,247928,SWI5,0,+
4,248131,248137,SWI5,0,-
4,247703,247708,ADR1,0,+
4,251397,251410,ABF1,0,+
4,272051,272064,ABF1,0,+
4,282004,282011,MBP1,0,+
4,282011,282017,SWI6,0,+
4,282004,282010,SWI6,0,-
4,281993,282005,FKH2,0,-
4,296394,296401,NRG1,0,-
4,296445,296461,MCM1,0,+
4,305023,305031,FKH1,0,-
4,312721,312736,THI2,0,+
4,334709,334716,RTG3,0,+
4,334725,334732,RTG3,0,-
4,334725,334733,GCN4,0,-
4,334538,334545,HAP4,0,-
4,341443,341453,FHL1,0,-
4,344189,344195,YAP5,0,-
4,344058,344064,YAP5,0,+
4,345143,345151,CBF1,0,-
4,345100,345110,MET32,0,-
4,345254,345260,PHO2,0,+
4,345001,345007,PHO2,0,+
4,345572,345578,PHO2,0,+
4,355458,355468,SPT2,0,+
4,357271,357278,SWI4,0,+
4,357292,357299,SWI4,0,+
4,357499,357505,SWI6,0,+
4,363747,363754,TYE7,0,-
4,366270,366275,DAL80,0,-
4,366350,366358,SKN7,0,+
4,366330,366340,STB5,0,-
4,366186,366195,INO2,0,-
4,369061,369067,PHD1,0,+
4,368878,368884,PHD1,0,+
4,369755,369761,PHD1,0,-
4,369046,369052,PHD1,0,+
4,372096,372104,REB1,0,+
4,392622,392635,ABF1,1,+
4,397411,397417,SWI5,1,-
4,417040,417054,HSF1,1,-
4,417085,417093,CBF1,1,-
4,416753,416762,YAP7,1,+
4,417072,417081,YAP7,1,+
4,423628,423635,MBP1,1,+
4,423628,423634,SWI6,1,-
4,439438,439446,CBF1,1,-
4,442862,442869,HAP4,1,-
4,444307,444314,MBP1,1,+
4,444346,444353,MBP1,1,-
4,444387,444394,MBP1,1,+
4,444402,444409,MBP1,1,-
4,444307,444313,SWI6,1,-
4,444347,444353,SWI6,1,+
4,444403,444409,SWI6,1,+
4,444387,444393,SWI6,1,-
4,446723,446732,CIN5,1,-
4,450061,450068,CST6,1,-
4,450156,450164,ARR1,1,+
4,453913,453921,REB1,1,+
4,463142,463160,GAL4,1,+
4,465474,465483,YAP7,1,-
4,465406,465416,STB5,1,+
4,465369,465376,SWI4,1,+
4,501064,501069,ADR1,2,-
4,501672,501680,REB1,2,+
4,501651,501664,ABF1,2,+
4,501416,501423,CST6,2,+
4,503336,503346,GLN3,2,-
4,504879,504885,MSN2,2,-
4,506990,506996,MSN2,2,-
4,507398,507404,MSN2,2,+
4,507310,507320,NDD1,2,+
4,507569,507579,NDD1,2,-
4,507811,507821,NDD1,2,+
4,507401,507411,NDD1,2,+
4,507495,507504,DAL82,2,-
4,507610,507622,FKH2,2,-
4,509261,509271,SPT2,2,+
4,509294,509304,SPT2,2,+
4,509526,509536,SPT2,2,+
4,521511,521521,UME6,2,-
4,521626,521634,GCN4,2,+
4,524878,524886,REB1,2,-
4,542144,542152,CBF1,2,-
4,542239,542245,MET31,2,+
4,541357,541363,MET31,2,+
4,541416,541425,SUM1,2,+
4,542510,542517,STP1,2,+
4,542416,542423,RCS1,2,+
4,541419,541426,RTG3,2,+
4,542588,542596,YAP6,2,+
4,542417,542425,SKN7,2,+
4,541581,541590,DAL82,2,-
4,541461,541466,DAL80,2,+
4,543782,543789,NRG1,2,+
4,544298,544305,NRG1,2,+
4,544350,544357,NRG1,2,-
4,546291,546298,NRG1,2,-
4,543823,543831,SKN7,2,-
4,546289,546297,SKN7,2,-
4,544354,544362,SKN7,2,-
4,550976,550983,STP1,2,+
4,550985,550992,STP1,2,-
4,556774,556783,INO4,2,+
4,556632,556638,MSN2,2,+
4,561390,561398,ARR1,2,-
4,560727,560735,ARR1,2,-
4,562969,562977,CBF1,2,+
4,562991,563001,UME6,2,+
4,563244,563254,ASH1,2,+
4,579206,579216,RAP1,2,-
4,579427,579433,PHO2,2,-
4,583576,583585,DAL82,2,+
4,583576,583583,CST6,2,-
4,600593,600598,HAP5,2,+
4,600495,600501,PHO2,2,-
4,600588,600594,PHO2,2,+
4,600517,600523,PHO2,2,-
4,600227,600237,ROX1,2,-
4,599862,599870,YAP6,2,+
4,600665,600671,MOT3,2,+
4,600366,600373,NRG1,2,+
4,600495,600505,RLM1,2,+
4,600584,600594,RLM1,2,-
4,599829,599839,ASH1,2,-
4,599964,599974,ASH1,2,+
4,600094,600102,SKO1,2,-
4,600267,600275,SKO1,2,-
4,600231,600238,XBP1,2,+
4,600285,600292,XBP1,2,-
4,614117,614123,MSN2,2,+
4,614117,614123,MSN4,2,+
4,616382,616389,STE12,2,-
4,616523,616530,STE12,2,+
4,616488,616498,RLM1,2,-
4,616524,616530,DIG1,2,+
4,616382,616388,DIG1,2,-
4,616340,616346,MSN4,2,-
4,617353,617360,STE12,2,+
4,628985,628995,UME6,2,+
4,630796,630803,MBP1,2,+
4,644004,644011,MBP1,2,+
4,644025,644032,MBP1,2,-
4,680303,680310,NRG1,2,-
4,681792,681799,MBP1,2,+
4,681792,681798,SWI6,2,-
4,704257,704264,RTG3,2,-
4,704257,704265,GCN4,2,-
4,704464,704469,DAL80,2,-
4,722641,722647,MSN2,2,+
4,722740,722746,MSN2,2,-
4,721830,721836,MSN2,2,+
4,721796,721803,NRG1,2,-
4,722071,722077,SWI6,2,+
4,721930,721936,SWI6,2,+
4,721995,722001,SWI6,2,+
4,721821,721827,SWI6,2,-
4,721869,721875,SWI6,2,-
4,722627,722633,SUT1,2,+
4,722070,722076,SUT1,2,+
4,740151,740159,CBF1,2,-
4,748519,748525,PHO2,2,-
4,748568,748574,PHO2,2,-
4,748575,748581,PHO2,2,-
4,751410,751419,INO4,2,-
4,751036,751046,NDD1,2,+
4,751410,751419,INO2,2,-
4,751044,751060,MCM1,2,+
4,751033,751045,FKH2,2,+
4,755487,755499,FKH2,2,+
4,765432,765439,AFT2,2,+
4,769241,769249,ACE2,2,-
4,769284,769292,ACE2,2,+
4,769338,769348,RPH1,2,+
4,769374,769382,REB1,2,+
4,769354,769362,REB1,2,+
4,769287,769295,SKN7,2,+
4,792265,792271,YAP5,2,-
4,792236,792242,YAP5,2,-
4,794056,794062,DIG1,2,+
4,794105,794111,DIG1,2,-
4,793987,793993,DIG1,2,-
4,794064,794073,INO2,2,+
4,802529,802537,SKN7,2,-
4,802506,802514,SKN7,2,+
4,830472,830479,CST6,2,+
4,830591,830598,CST6,2,+
4,830554,830559,HAP3,2,+
4,835950,835960,RAP1,2,-
4,842167,842175,CBF1,2,-
4,842186,842206,YOX1,2,-
4,842157,842165,REB1,2,-
4,842193,842209,MCM1,2,+
4,848051,848064,ABF1,2,-
4,848231,848244,ABF1,2,-
4,870965,870972,HAP2,2,-
4,892570,892584,HSF1,2,-
4,909805,909817,FKH2,2,+
4,909463,909475,FKH2,2,-
4,911978,911984,GTS1,2,-
4,911374,911380,GTS1,2,-
4,914963,914970,SWI4,2,+
4,914987,914994,SWI4,2,-
4,915119,915126,SWI4,2,+
4,915157,915164,SWI4,2,+
4,915056,915062,SWI6,2,+
4,927006,927016,STB5,2,-
4,930757,930770,ABF1,2,+
4,930726,930736,HAP1,2,-
4,952568,952581,ABF1,2,+
4,958483,958493,STB5,2,-
4,971585,971593,REB1,2,-
4,976443,976453,ROX1,2,-
4,976178,976185,SOK2,2,+
4,976002,976014,FKH2,2,-
4,995698,995705,MBP1,2,-
4,995709,995716,MBP1,2,+
4,995699,995705,SWI6,2,+
4,995709,995715,SWI6,2,-
4,995730,995738,FKH1,2,-
4,995726,995738,FKH2,2,-
4,1005381,1005388,RCS1,2,+
4,1005429,1005436,RCS1,2,+
4,1005471,1005478,RCS1,2,-
4,1005381,1005388,AFT2,2,+
4,1005429,1005436,AFT2,2,+
4,1005495,1005502,AFT2,2,-
4,1005471,1005478,AFT2,2,-
4,1016264,1016271,MBP1,2,-
4,1016151,1016169,GAL4,2,-
4,1015959,1015965,PHO2,2,-
4,1015864,1015870,PHO2,2,+
4,1015842,1015848,PHO2,2,-
4,1016316,1016326,ROX1,2,+
4,1020496,1020509,ABF1,2,-
4,1022591,1022597,PHO4,2,-
4,1022549,1022558,SUM1,2,-
4,1022595,1022604,SUM1,2,-
