name,orf_name,chr,start,end,length,strand,orf_class,ontology
GPB2,YAL056W,1,39260.0,41902.0,2642.0,+,Verified,"GO:0004871,GO:0007165,GO:0005737,GO:0005886,GO:0000723,GO:0045944,GO:0030437,GO:0005739,GO:0032794,GO:0046580,GO:0007124,GO:0010255,GO:0001403,GO:0004862"
PEX22,YAL055W,1,42178.0,42720.0,542.0,+,Verified,"GO:0016562,GO:0043495,GO:0005779,GO:0006625"
ACS1,YAL054C,1,42882.0,45023.0,2141.0,-,Verified,"GO:0003987,GO:0019654,GO:0006085,GO:0005829,GO:0005739,GO:0016573"
FLC2,YAL053W,1,45900.0,48251.0,2351.0,+,Verified,"GO:0005737,GO:0005783,GO:0009272,GO:0015883,GO:0006457,GO:0015230"
OAF1,YAL051W,1,48565.0,51708.0,3143.0,+,Verified,"GO:0016563,GO:0045941,GO:0003677,GO:0006631,GO:0007031,GO:0005634,GO:0016481,GO:0034201"
AIM2,YAL049C,1,51856.0,52596.0,740.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005737"
GEM1,YAL048C,1,52802.0,54790.0,1988.0,-,Verified,"GO:0016192,GO:0003924,GO:0005741,GO:0005739,GO:0000001"
YAL047W-A,YAL047W-A,1,54585.0,54914.0,329.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
SPC72,YAL047C,1,54990.0,56858.0,1868.0,-,Verified,"GO:0000022,GO:0005200,GO:0007020,GO:0005824,GO:0000070,GO:0030473,GO:0031578"
AIM1,YAL046C,1,57030.0,57386.0,356.0,-,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
YAL045C,YAL045C,1,57489.0,57797.0,308.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YAL044W-A,YAL044W-A,1,57519.0,57851.0,332.0,+,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150"
GCV3,YAL044C,1,57951.0,58463.0,512.0,-,Verified,"GO:0004375,GO:0005739,GO:0000723,GO:0005960,GO:0006546,GO:0006730"
PTA1,YAL043C,1,58696.0,61053.0,2357.0,-,Verified,"GO:0005849,GO:0008033,GO:0030846,GO:0030847,GO:0006379,GO:0006378,GO:0005847,GO:0003723"
YAL042C-A,YAL042C-A,1,61232.0,61609.0,377.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
ERV46,YAL042W,1,61317.0,62564.0,1247.0,+,Verified,"GO:0003674,GO:0006888,GO:0030173,GO:0030176,GO:0030134"
CDC24,YAL041W,1,62841.0,65405.0,2564.0,+,Verified,"GO:0005089,GO:0007264,GO:0006033,GO:0007118,GO:0007124,GO:0007119,GO:0005634,GO:0000131,GO:0043332,GO:0005935,GO:0001403,GO:0000750,GO:0000753,GO:0030010,GO:0007096"
CLN3,YAL040C,1,65779.0,67521.0,1742.0,-,Verified,"GO:0000079,GO:0016538,GO:0005634,GO:0000082,GO:0007033,GO:0042144,GO:0008361"
CYC3,YAL039C,1,68717.0,69526.0,809.0,-,Verified,"GO:0004408,GO:0018063,GO:0005758,GO:0005739"
CDC19,YAL038W,1,71787.0,73289.0,1502.0,+,Verified,"GO:0004743,GO:0005829,GO:0006096,GO:0006090"
YAL037C-B,YAL037C-B,1,72327.0,73301.0,974.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
YAL037C-A,YAL037C-A,1,73427.0,73519.0,92.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
YAL037W,YAL037W,1,74021.0,74824.0,803.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
RBG1,YAL036C,1,75044.0,76153.0,1109.0,-,Verified,"GO:0005737,GO:0005525,GO:0042254"
FUN12,YAL035W,1,76428.0,79436.0,3008.0,+,Verified,"GO:0006413,GO:0003743,GO:0022627,GO:0003924,GO:0005739"
YAL034C-B,YAL034C-B,1,79490.0,79843.0,353.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
MTW1,YAL034W-A,1,79719.0,80588.0,869.0,+,Verified,"GO:0003674,GO:0007059,GO:0000922,GO:0000818"
FUN19,YAL034C,1,80711.0,81952.0,1241.0,-,Verified,"GO:0003674,GO:0008150,GO:0005575"
POP5,YAL033W,1,82707.0,83228.0,521.0,+,Verified,"GO:0006364,GO:0000172,GO:0005655,GO:0008033,GO:0004526,GO:0000171,GO:0006379"
PRP45,YAL032C,1,83336.0,84475.0,1139.0,-,Verified,"GO:0016563,GO:0005634,GO:0045944,GO:0000398,GO:0005681"
YAL031W-A,YAL031W-A,1,84670.0,84978.0,308.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
GIP4,YAL031C,1,84750.0,87032.0,2282.0,-,Verified,"GO:0007059,GO:0008599,GO:0008157,GO:0043666,GO:0005737"
SNC1,YAL030W,1,87287.0,87753.0,466.0,+,Verified,"GO:0005484,GO:0006906,GO:0006893,GO:0006897,GO:0005802,GO:0005768,GO:0030133,GO:0031201"
MYO4,YAL029C,1,87856.0,92271.0,4415.0,-,Verified,"GO:0048309,GO:0000146,GO:0031941,GO:0051015,GO:0031475,GO:0005933,GO:0008298,GO:0005739,GO:0007533"
FRT2,YAL028W,1,92901.0,94487.0,1586.0,+,Verified,"GO:0003674,GO:0006950,GO:0005783"
SAW1,YAL027W,1,94688.0,95473.0,785.0,+,Verified,"GO:0003674,GO:0008150,GO:0005634"
YAL026C-A,YAL026C-A,1,95387.0,95824.0,437.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
DRS2,YAL026C,1,95631.0,99698.0,4067.0,-,Verified,"GO:0006892,GO:0005802,GO:0045332,GO:0004012,GO:0015662,GO:0006886,GO:0006897,GO:0000028"
MAK16,YAL025C,1,100226.0,101146.0,920.0,-,Verified,"GO:0042273,GO:0005730,GO:0003674,GO:0042254,GO:0000466,GO:0000463"
LTE1,YAL024C,1,101566.0,105873.0,4307.0,-,Verified,"GO:0005085,GO:0007096,GO:0005933,GO:0031578,GO:0042493,GO:0016192"
PMT2,YAL023C,1,106273.0,108552.0,2279.0,-,Verified,"GO:0004169,GO:0005783,GO:0006493"
FUN26,YAL022C,1,108878.0,110431.0,1553.0,-,Verified,"GO:0016020,GO:0005337,GO:0015858,GO:0005622"
CCR4,YAL021C,1,110847.0,113360.0,2513.0,-,Verified,"GO:0006260,GO:0000076,GO:0048478,GO:0030015,GO:0006357,GO:0005737,GO:0000289,GO:0000288,GO:0000175,GO:0007089,GO:0016593,GO:0006368,GO:0042493"
ATS1,YAL020C,1,113615.0,114616.0,1001.0,-,Verified,"GO:0007017,GO:0003674,GO:0005737,GO:0000226,GO:0007117,GO:0006400"
YAL019W-A,YAL019W-A,1,114251.0,114820.0,569.0,+,Dubious,"GO:0008150,GO:0005575,GO:0003674"
FUN30,YAL019W,1,114920.0,118315.0,3395.0,+,Verified,"GO:0051276,GO:0003674,GO:0005634,GO:0005739"
YAL018C,YAL018C,1,118565.0,119542.0,977.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
PSK1,YAL017W,1,120226.0,124296.0,4070.0,+,Verified,"GO:0004674,GO:0019318,GO:0006468,GO:0005737,GO:0006078"
YAL016C-B,YAL016C-B,1,124308.0,124493.0,185.0,-,Dubious,"GO:0003674,GO:0005575,GO:0008150"
YAL016C-A,YAL016C-A,1,124756.0,125070.0,314.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
TPD3,YAL016W,1,124880.0,126787.0,1907.0,+,Verified,"GO:0000159,GO:0006412,GO:0007015,GO:0007094,GO:0007117,GO:0005935,GO:0005634,GO:0005737,GO:0043332,GO:0005934,GO:0005816,GO:0006470,GO:0004722"
NTG1,YAL015C,1,126904.0,128103.0,1199.0,-,Verified,"GO:0005634,GO:0006281,GO:0005739,GO:0006285,GO:0000703,GO:0003906,GO:0006284,GO:0008534"
SYN8,YAL014C,1,128253.0,129020.0,767.0,-,Verified,"GO:0005768,GO:0005484,GO:0006810"
DEP1,YAL013W,1,129271.0,130533.0,1262.0,+,Verified,"GO:0006644,GO:0006357,GO:0030528,GO:0005634,GO:0000723,GO:0000508,GO:0004407,GO:0016575"
CYS3,YAL012W,1,130802.0,131986.0,1184.0,+,Verified,"GO:0019346,GO:0000096,GO:0006534,GO:0004123,GO:0005737,GO:0042493"
SWC3,YAL011W,1,132202.0,134079.0,1877.0,+,Verified,"GO:0003674,GO:0005634,GO:0006338,GO:0007029,GO:0000812,GO:0043486,GO:0005739,GO:0042493"
MDM10,YAL010C,1,134186.0,135667.0,1481.0,-,Verified,"GO:0000002,GO:0007005,GO:0000001,GO:0003674,GO:0001401,GO:0006461,GO:0005741,GO:0000723,GO:0032865,GO:0045040"
SPO7,YAL009W,1,135856.0,136635.0,779.0,+,Verified,"GO:0006997,GO:0007126,GO:0042175,GO:0016021,GO:0030437,GO:0004721"
FUN14,YAL008W,1,136916.0,137512.0,596.0,+,Verified,"GO:0003674,GO:0008150,GO:0005739,GO:0005741"
ERP2,YAL007C,1,137700.0,138347.0,647.0,-,Verified,"GO:0003674,GO:0006888,GO:0030134"
SSA1,YAL005C,1,139505.0,141433.0,1928.0,-,Verified,"GO:0005737,GO:0006457,GO:0000060,GO:0005634,GO:0006616,GO:0000329,GO:0016887,GO:0009277,GO:0051082,GO:0005832,GO:0006412,GO:0006626,GO:0006950,GO:0042026"
YAL004W,YAL004W,1,140762.0,141409.0,647.0,+,Dubious,"GO:0005575,GO:0003674,GO:0008150"
EFB1,YAL003W,1,142176.0,143162.0,986.0,+,Verified,"GO:0005840,GO:0003746,GO:0006414,GO:0005853"
VPS8,YAL002W,1,143709.0,147533.0,3824.0,+,Verified,"GO:0045324,GO:0003674,GO:0005624,GO:0033263"
TFC3,YAL001C,1,147596.0,151168.0,3572.0,-,Verified,"GO:0003709,GO:0000127,GO:0006384,GO:0005739"
NUP60,YAR002W,1,152259.0,153878.0,1619.0,+,Verified,"GO:0005643,GO:0006913,GO:0000059,GO:0017056,GO:0000723"
ERP1,YAR002C-A,1,154067.0,154726.0,659.0,-,Verified,"GO:0003674,GO:0006888,GO:0030134,GO:0005739"
SWD1,YAR003W,1,155007.0,156287.0,1280.0,+,Verified,"GO:0006348,GO:0016571,GO:0042800,GO:0048188,GO:0006355,GO:0000723"
RFA1,YAR007C,1,156756.0,158621.0,1865.0,-,Verified,"GO:0000781,GO:0005737,GO:0000724,GO:0000722,GO:0003690,GO:0043565,GO:0003697,GO:0006281,GO:0006260,GO:0006268,GO:0045184,GO:0007131,GO:0006312,GO:0006289,GO:0007004,GO:0005662,GO:0000794,GO:0030491"
SEN34,YAR008W,1,158967.0,159794.0,827.0,+,Verified,"GO:0000213,GO:0006388,GO:0000214,GO:0005637,GO:0005741,GO:0005739"
BUD14,YAR014C,1,166743.0,168866.0,2123.0,-,Verified,"GO:0000131,GO:0005934,GO:0005935,GO:0000903,GO:0006355,GO:0007010,GO:0008599"
ADE1,YAR015W,1,169370.0,170290.0,920.0,+,Verified,"GO:0005737,GO:0005634,GO:0042493,GO:0004639,GO:0006164,GO:0006189"
KIN3,YAR018C,1,170391.0,171698.0,1307.0,-,Verified,"GO:0007059,GO:0004672,GO:0005575"
CDC15,YAR019C,1,172209.0,175133.0,2924.0,-,Verified,"GO:0005816,GO:0007096,GO:0004672,GO:0006468,GO:0000910,GO:0005935"
YAR019W-A,YAR019W-A,1,174996.0,175340.0,344.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
PAU7,YAR020C,1,176854.0,177021.0,167.0,-,Verified,"GO:0008150,GO:0003674,GO:0005575"
YAR023C,YAR023C,1,179279.0,179818.0,539.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
UIP3,YAR027W,1,183764.0,184471.0,707.0,+,Verified,"GO:0008150,GO:0003674,GO:0005635"
YAR028W,YAR028W,1,184886.0,185590.0,704.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
YAR029W,YAR029W,1,186315.0,186539.0,224.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005737"
YAR030C,YAR030C,1,186506.0,186847.0,341.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
PRM9,YAR031W,1,186830.0,187726.0,896.0,+,Verified,"GO:0016021,GO:0003674,GO:0005783,GO:0016050,GO:0019236,GO:0005886"
MST28,YAR033W,1,188101.0,188805.0,704.0,+,Verified,"GO:0005515,GO:0016050,GO:0016021,GO:0005794,GO:0005783,GO:0005886"
YAT1,YAR035W,1,190187.0,192250.0,2063.0,+,Verified,"GO:0005739,GO:0004092,GO:0006066,GO:0009437"
YAR035C-A,YAR035C-A,1,192331.0,192411.0,80.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
SWH1,YAR042W,1,192613.0,196179.0,3566.0,+,Verified,"GO:0005545,GO:0000138,GO:0005769,GO:0005783,GO:0005635,GO:0008142,GO:0005498,GO:0015918,GO:0006897,GO:0030011,GO:0006887"
YAR047C,YAR047C,1,201460.0,201780.0,320.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
FLO1,YAR050W,1,203394.0,208007.0,4613.0,+,Verified,"GO:0009277,GO:0005537,GO:0000501"
YAR053W,YAR053W,1,208358.0,208654.0,296.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YAR060C,YAR060C,1,217148.0,217483.0,335.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
YAR064W,YAR064W,1,220189.0,220488.0,299.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
YAR066W,YAR066W,1,221040.0,221651.0,611.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
YAR068W,YAR068W,1,222397.0,222882.0,485.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
YAR069C,YAR069C,1,224002.0,224295.0,293.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YAR070C,YAR070C,1,224554.0,224853.0,299.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
PHO11,YAR071W,1,225451.0,226854.0,1403.0,+,Verified,"GO:0003993,GO:0005576,GO:0006796"
IMD1,YAR073W,1,227733.0,228944.0,1211.0,+,Dubious,"GO:0005575,GO:0003674,GO:0008150,GO:0003938"
YAR075W,YAR075W,1,228835.0,229308.0,473.0,+,Dubious,"GO:0008150,GO:0005575,GO:0003938,GO:0003674"
YBL113C,YBL113C,2,280.0,2658.0,2378.0,-,Uncharacterized,"GO:0008150,GO:0005575,GO:0004386"
YBL113W-A,YBL113W-A,2,646.0,1128.0,482.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
YBL112C,YBL112C,2,2582.0,2899.0,317.0,-,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150"
YBL111C,YBL111C,2,2907.0,5009.0,2102.0,-,Uncharacterized,"GO:0008150,GO:0005575,GO:0003674"
YBL109W,YBL109W,2,5790.0,6125.0,335.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
PAU9,YBL108C-A,2,7605.0,7733.0,128.0,-,Uncharacterized,"GO:0005575,GO:0008150,GO:0003674"
YBL108W,YBL108W,2,8177.0,8482.0,305.0,+,Dubious,"GO:0008150,GO:0005575,GO:0003674"
YBL107W-A,YBL107W-A,2,9268.0,9372.0,104.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
YBL107C,YBL107C,2,9961.0,10551.0,590.0,-,Uncharacterized,"GO:0005737,GO:0003674,GO:0008150"
SRO77,YBL106C,2,10847.0,13879.0,3032.0,-,Verified,"GO:0006887,GO:0005886,GO:0006893,GO:0003674"
PKC1,YBL105C,2,14241.0,17696.0,3455.0,-,Verified,"GO:0006468,GO:0007165,GO:0007243,GO:0007047,GO:0004697,GO:0030427,GO:0007015,GO:0005737,GO:0005634,GO:0005856"
YBL104C,YBL104C,2,18177.0,21293.0,3116.0,-,Uncharacterized,"GO:0005737,GO:0008150,GO:0003674"
RTG3,YBL103C,2,22075.0,23535.0,1460.0,-,Verified,"GO:0005737,GO:0005634,GO:0003704,GO:0006367,GO:0031930"
SFT2,YBL102W,2,24098.0,24745.0,647.0,+,Verified,"GO:0000139,GO:0006895,GO:0003674"
ECM21,YBL101C,2,24946.0,28299.0,3353.0,-,Verified,"GO:0007047,GO:0003674,GO:0005737"
YBL100W-C,YBL100W-C,2,28427.0,28546.0,119.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
YBL100C,YBL100C,2,36986.0,37300.0,314.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005789"
ATP1,YBL099W,2,37050.0,38687.0,1637.0,+,Verified,"GO:0015986,GO:0005754,GO:0042645,GO:0046933,GO:0005739"
BNA4,YBL098W,2,39142.0,40524.0,1382.0,+,Verified,"GO:0005739,GO:0005741,GO:0004502,GO:0034354"
BRN1,YBL097W,2,40828.0,43092.0,2264.0,+,Verified,"GO:0007076,GO:0000070,GO:0005634,GO:0003674,GO:0000799"
YBL096C,YBL096C,2,43171.0,43479.0,308.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
YBL095W,YBL095W,2,43274.0,44086.0,812.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005739"
YBL094C,YBL094C,2,43762.0,44094.0,332.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
ROX3,YBL093C,2,44253.0,44915.0,662.0,-,Verified,"GO:0000119,GO:0006366,GO:0016455,GO:0005634"
RPL32,YBL092W,2,45642.0,46367.0,725.0,+,Verified,"GO:0003735,GO:0022625,GO:0006412"
SCS22,YBL091C-A,2,46562.0,47177.0,615.0,-,Verified,"GO:0005575,GO:0006348,GO:0003674,GO:0008654"
MAP2,YBL091C,2,47360.0,48625.0,1265.0,-,Verified,"GO:0004239,GO:0006508,GO:0005737"
MRP21,YBL090W,2,48822.0,49355.0,533.0,+,Verified,"GO:0003735,GO:0005763,GO:0006412,GO:0006413,GO:0005739"
AVT5,YBL089W,2,49571.0,50950.0,1379.0,+,Verified,"GO:0005575,GO:0006810,GO:0005215"
TEL1,YBL088C,2,51016.0,59379.0,8363.0,-,Verified,"GO:0007004,GO:0005634,GO:0004672,GO:0005739,GO:0000723,GO:0016310,GO:0006974,GO:0000729,GO:0016572,GO:0042162,GO:0006975"
RPL23A,YBL087C,2,59818.0,60735.0,917.0,-,Verified,"GO:0022625,GO:0003735,GO:0006412"
YBL086C,YBL086C,2,61199.0,62599.0,1400.0,-,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
BOI1,YBL085W,2,63873.0,66815.0,2942.0,+,Verified,"GO:0007266,GO:0005933,GO:0005935,GO:0030427,GO:0005543,GO:0030010,GO:0007118,GO:0007109"
CDC27,YBL084C,2,67166.0,69442.0,2276.0,-,Verified,"GO:0004842,GO:0005515,GO:0007091,GO:0008054,GO:0000022,GO:0000070,GO:0031145,GO:0016567,GO:0005680"
YBL083C,YBL083C,2,69710.0,70135.0,425.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
ALG3,YBL082C,2,69748.0,71124.0,1376.0,-,Verified,"GO:0000033,GO:0006486,GO:0005783,GO:0006490"
YBL081W,YBL081W,2,71863.0,72969.0,1106.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005575"
PET112,YBL080C,2,73067.0,74692.0,1625.0,-,Verified,"GO:0006412,GO:0005739,GO:0007005,GO:0009060,GO:0003674"
NUP170,YBL079W,2,75256.0,79764.0,4508.0,+,Verified,"GO:0005198,GO:0006406,GO:0006409,GO:0006607,GO:0006610,GO:0000059,GO:0005643,GO:0006608,GO:0006609,GO:0006611,GO:0006407,GO:0006408,GO:0006999,GO:0007059,GO:0006612"
ATG8,YBL078C,2,80375.0,80728.0,353.0,-,Verified,"GO:0005776,GO:0000407,GO:0000045,GO:0005829,GO:0006944,GO:0032258,GO:0006888,GO:0019898,GO:0005774,GO:0003674"
YBL077W,YBL077W,2,80895.0,81326.0,431.0,+,Dubious,"GO:0003674,GO:0005575,GO:0008150"
ILS1,YBL076C,2,81041.0,84259.0,3218.0,-,Verified,"GO:0006412,GO:0004822,GO:0005829"
SSA3,YBL075C,2,84497.0,86446.0,1949.0,-,Verified,"GO:0006616,GO:0006950,GO:0016887,GO:0005829,GO:0051082,GO:0006457"
AAR2,YBL074C,2,86720.0,87787.0,1067.0,-,Verified,"GO:0000244,GO:0005682,GO:0003674"
YBL073W,YBL073W,2,87644.0,87955.0,311.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
RPS8A,YBL072C,2,88521.0,89438.0,917.0,-,Verified,"GO:0003735,GO:0006412,GO:0022627"
YBL071C-B,YBL071C-B,2,89456.0,89554.0,98.0,-,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150"
KTI11,YBL071W-A,2,89976.0,90224.0,248.0,+,Verified,"GO:0000080,GO:0005737,GO:0017183,GO:0006400,GO:0005634,GO:0008270,GO:0005506,GO:0009055"
YBL071C,YBL071C,2,90221.0,90529.0,308.0,-,Dubious,"GO:0008150,GO:0003674,GO:0005575"
YBL070C,YBL070C,2,90603.0,90923.0,320.0,-,Dubious,"GO:0003674,GO:0008150,GO:0005575"
AST1,YBL069W,2,90739.0,92028.0,1289.0,+,Verified,"GO:0019898,GO:0006612,GO:0003674"
YBL068W-A,YBL068W-A,2,91792.0,92028.0,236.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
PRS4,YBL068W,2,92412.0,93395.0,983.0,+,Verified,"GO:0005737,GO:0042254,GO:0006015,GO:0031505,GO:0004749"
UBP13,YBL067C,2,93641.0,95884.0,2243.0,-,Verified,"GO:0008150,GO:0004843,GO:0005575"
SEF1,YBL066C,2,96671.0,100117.0,3446.0,-,Verified,"GO:0008150,GO:0003674,GO:0005575"
YBL065W,YBL065W,2,99965.0,100309.0,344.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
PRX1,YBL064C,2,100373.0,101158.0,785.0,-,Verified,"GO:0005739,GO:0030503,GO:0008379,GO:0006979"
KIP1,YBL063W,2,101888.0,105223.0,3335.0,+,Verified,"GO:0000092,GO:0003777,GO:0005876,GO:0005200,GO:0005816,GO:0005871,GO:0007020"
YBL062W,YBL062W,2,105310.0,105690.0,380.0,+,Dubious,"GO:0003674,GO:0008150,GO:0005575"
SKT5,YBL061C,2,105318.0,107408.0,2090.0,-,Verified,"GO:0006038,GO:0006970,GO:0008047,GO:0000910,GO:0005935,GO:0000144,GO:0000131"
YEL1,YBL060W,2,107934.0,109997.0,2063.0,+,Uncharacterized,"GO:0005737,GO:0005935,GO:0005934,GO:0005086,GO:0008104,GO:0051666"
YBL059C-A,YBL059C-A,2,110127.0,110541.0,414.0,-,Uncharacterized,"GO:0003674,GO:0008150,GO:0005737,GO:0005634"
YBL059W,YBL059W,2,110596.0,111246.0,650.0,+,Uncharacterized,"GO:0008150,GO:0003674,GO:0005739"
SHP1,YBL058W,2,111439.0,112710.0,1271.0,+,Verified,"GO:0005977,GO:0005737,GO:0030437,GO:0043161,GO:0008599,GO:0000723,GO:0005634"
PTH2,YBL057C,2,112803.0,113447.0,644.0,-,Verified,"GO:0005737,GO:0004045,GO:0005739,GO:0032435,GO:0006412,GO:0005741"
PTC3,YBL056W,2,113765.0,115171.0,1406.0,+,Verified,"GO:0004722,GO:0000079,GO:0000173,GO:0006470,GO:0005634,GO:0005737"
YBL055C,YBL055C,2,115576.0,116832.0,1256.0,-,Verified,"GO:0005737,GO:0008296,GO:0004519,GO:0006979,GO:0006309"
YBL054W,YBL054W,2,117592.0,119169.0,1577.0,+,Uncharacterized,"GO:0003674,GO:0005737,GO:0005634,GO:0042254"
YBL053W,YBL053W,2,119338.0,119712.0,374.0,+,Dubious,"GO:0008150,GO:0005575,GO:0003674"
SAS3,YBL052C,2,119382.0,121877.0,2495.0,-,Verified,"GO:0006348,GO:0016568,GO:0030466,GO:0033100,GO:0004406,GO:0016573"
PIN4,YBL051C,2,122756.0,124762.0,2006.0,-,Verified,"GO:0003674,GO:0005737,GO:0000086,GO:0000077"
SEC17,YBL050W,2,125128.0,126122.0,994.0,+,Verified,"GO:0006888,GO:0005483,GO:0000300,GO:0042144"
MOH1,YBL049W,2,126831.0,127247.0,416.0,+,Verified,"GO:0008150,GO:0003674,GO:0005575"
YBL048W,YBL048W,2,127302.0,127613.0,311.0,+,Dubious,"GO:0008150,GO:0003674,GO:0005575"
EDE1,YBL047C,2,127898.0,132043.0,4145.0,-,Verified,"GO:0006897,GO:0005934,GO:0005935,GO:0030479,GO:0043130,GO:0030968"
PSY4,YBL046W,2,132427.0,133752.0,1325.0,+,Verified,"GO:0005634,GO:0006470,GO:0042493,GO:0019888"
COR1,YBL045C,2,134146.0,135519.0,1373.0,-,Verified,"GO:0009060,GO:0008121,GO:0005750,GO:0005739"
YBL044W,YBL044W,2,136001.0,136369.0,368.0,+,Uncharacterized,"GO:0003674,GO:0008150,GO:0005575"
ECM13,YBL043W,2,136691.0,137464.0,773.0,+,Verified,"GO:0007047,GO:0003674,GO:0005575"
FUI1,YBL042C,2,138344.0,140263.0,1919.0,-,Verified,"GO:0015862,GO:0005886,GO:0015213"
PRE7,YBL041W,2,141250.0,141975.0,725.0,+,Verified,"GO:0006511,GO:0004175,GO:0019774"
ERD2,YBL040C,2,142115.0,142871.0,756.0,-,Verified,"GO:0030176,GO:0045015,GO:0006621,GO:0006888"
