orf_name,name,chr,start,stop,length,strand,orf_class,TSS,PAS,transcript_start,transcript_stop
YBL071C-B,YBL071C-B,2,89456,89554,98,-,Uncharacterized,,89444.0,89444,89456
YBL071W-A,KTI11,2,89976,90224,248,+,Verified,89933.0,90470.0,89933,90470
YBL071C,YBL071C,2,90221,90529,308,-,Dubious,,,90529,90221
YBL070C,YBL070C,2,90603,90923,320,-,Dubious,,,90923,90603
YBL069W,AST1,2,90739,92028,1289,+,Verified,90667.0,92109.0,90667,92109
YBL068W-A,YBL068W-A,2,91792,92028,236,+,Dubious,,,91792,92028
YBL068W,PRS4,2,92412,93395,983,+,Verified,92363.0,93484.0,92363,93484
YBL067C,UBP13,2,93641,95884,2243,-,Verified,96171.0,93524.0,93524,96171
YBL066C,SEF1,2,96671,100117,3446,-,Verified,99055.0,96490.0,96490,99055
YBL065W,YBL065W,2,99965,100309,344,+,Dubious,,,99965,100309
YBL064C,PRX1,2,100373,101158,785,-,Verified,101226.0,100301.0,100301,101226
YBL063W,KIP1,2,101888,105223,3335,+,Verified,101888.0,105319.0,101888,105319
YBL062W,YBL062W,2,105310,105690,380,+,Dubious,,,105310,105690
YBL061C,SKT5,2,105318,107408,2090,-,Verified,107512.0,105215.0,105215,107512
YBL060W,YEL1,2,107934,109997,2063,+,Uncharacterized,107872.0,110041.0,107872,110041
YBL059C-A,YBL059C-A,2,110127,110541,414,-,Uncharacterized,110563.0,109967.0,109967,110563
YBL059W,YBL059W,2,110596,111246,650,+,Uncharacterized,110676.0,111318.0,110676,111318
YBL058W,SHP1,2,111439,112710,1271,+,Verified,111398.0,112827.0,111398,112827
YBL057C,PTH2,2,112803,113447,644,-,Verified,113450.0,112736.0,112736,113450
YBL056W,PTC3,2,113765,115171,1406,+,Verified,113685.0,115538.0,113685,115538
YBL055C,YBL055C,2,115576,116832,1256,-,Verified,116818.0,115482.0,115482,116818
YBL054W,YBL054W,2,117592,119169,1577,+,Uncharacterized,117481.0,119314.0,117481,119314
YBL053W,YBL053W,2,119338,119712,374,+,Dubious,,,119338,119712
YBL052C,SAS3,2,119382,121877,2495,-,Verified,122065.0,119313.0,119313,122065
YBL051C,PIN4,2,122756,124762,2006,-,Verified,124825.0,122606.0,122606,124825
YBL050W,SEC17,2,125128,126122,994,+,Verified,125061.0,126189.0,125061,126189
YBL049W,MOH1,2,126831,127247,416,+,Verified,126625.0,,126625,127247
YBL048W,YBL048W,2,127302,127613,311,+,Dubious,,,127302,127613
YBL047C,EDE1,2,127898,132043,4145,-,Verified,132214.0,127754.0,127754,132214
YBL046W,PSY4,2,132427,133752,1325,+,Verified,132419.0,133934.0,132419,133934
YBL045C,COR1,2,134146,135519,1373,-,Verified,135643.0,133843.0,133843,135643
YBL044W,YBL044W,2,136001,136369,368,+,Uncharacterized,,136512.0,136001,136512
YBL043W,ECM13,2,136691,137464,773,+,Verified,136558.0,137647.0,136558,137647
YBL042C,FUI1,2,138344,140263,1919,-,Verified,140319.0,138153.0,138153,140319
YBL041W,PRE7,2,141250,141975,725,+,Verified,141219.0,142031.0,141219,142031
YBL040C,ERD2,2,142115,142871,756,-,Verified,142903.0,142015.0,142015,142903
YBL039W-B,YBL039W-B,2,143396,143575,179,+,Uncharacterized,143111.0,143703.0,143111,143703
YBL039C,URA7,2,143992,145731,1739,-,Verified,145785.0,143810.0,143810,145785
YBL039C-A,YBL039C-A,2,144951,145034,83,-,Dubious,,,145034,144951
YBL038W,MRPL16,2,146190,146888,698,+,Verified,146133.0,146950.0,146133,146950
YBL037W,APL3,2,147212,150289,3077,+,Verified,147132.0,150406.0,147132,150406
YBL036C,YBL036C,2,150450,151223,773,-,Verified,151272.0,150304.0,150304,151272
YBL035C,POL12,2,151496,153613,2117,-,Verified,153691.0,151385.0,151385,153691
YBL034C,STU1,2,153851,158392,4541,-,Verified,158218.0,153701.0,153701,158218
YBL033C,RIB1,2,158659,159696,1037,-,Verified,159712.0,158492.0,158492,159712
YBL032W,HEK2,2,160187,161332,1145,+,Verified,160097.0,161535.0,160097,161535
YBL031W,SHE1,2,161702,162718,1016,+,Verified,161668.0,162877.0,161668,162877
YBL030C,PET9,2,163044,164000,956,-,Verified,164144.0,162744.0,162744,164144
YBL029C-A,YBL029C-A,2,164491,164775,284,-,Uncharacterized,164892.0,164412.0,164412,164892
YBL029W,YBL029W,2,166137,167267,1130,+,Uncharacterized,,167491.0,166137,167491
YBL028C,YBL028C,2,167521,167841,320,-,Verified,167863.0,167436.0,167436,167863
YBL027W,RPL19B,2,168426,169379,953,+,Verified,168374.0,169463.0,168374,169463
YBL026W,LSM2,2,170626,171041,415,+,Verified,170584.0,171167.0,170584,171167
YBL025W,RRN10,2,171484,171921,437,+,Verified,171416.0,,171416,171921
YBL024W,NCL1,2,172537,174591,2054,+,Verified,172531.0,174711.0,172531,174711
YBL023C,MCM2,2,174923,177529,2606,-,Verified,177614.0,174768.0,174768,177614
YBL022C,PIM1,2,177877,181278,3401,-,Verified,181397.0,177801.0,177801,181397
YBL021C,HAP3,2,181663,182097,434,-,Verified,182144.0,181493.0,181493,182144
YBL020W,RFT1,2,182404,184128,1724,+,Verified,182322.0,184217.0,182322,184217
YBL019W,APN2,2,184356,185918,1562,+,Verified,184304.0,186033.0,184304,186033
YBL018C,POP8,2,186001,186477,476,-,Verified,186518.0,185965.0,185965,186518
YBL017C,PEP1,2,186847,191586,4739,-,Verified,191767.0,186780.0,186780,191767
YBL016W,FUS3,2,192454,193515,1061,+,Verified,192431.0,193650.0,192431,193650
YBL015W,ACH1,2,194125,195705,1580,+,Verified,194048.0,195739.0,194048,195739
YBL014C,RRN6,2,199067,201751,2684,-,Verified,201780.0,198950.0,198950,201780
YBL013W,FMT1,2,202059,203264,1205,+,Verified,201993.0,,201993,203264
YBL012C,YBL012C,2,203409,203810,401,-,Dubious,,,203810,203409
YBL011W,SCT1,2,203541,205820,2279,+,Verified,203440.0,206022.0,203440,206022
YBL010C,YBL010C,2,206110,206952,842,-,Uncharacterized,206946.0,205967.0,205967,206946
YBL009W,ALK2,2,207197,209227,2030,+,Verified,207155.0,209341.0,207155,209341
YBL008W-A,YBL008W-A,2,209412,209651,239,+,Uncharacterized,,,209412,209651
YBL008W,HIR1,2,209656,212178,2522,+,Verified,,212282.0,209656,212282
YBL007C,SLA1,2,212635,216369,3734,-,Verified,,212551.0,212551,212635
YBL006C,LDB7,2,216590,217132,542,-,Verified,217136.0,216408.0,216408,217136
YBL006W-A,YBL006W-A,2,216714,216863,149,+,Dubious,,,216714,216863
YBL005W,PDR3,2,217473,220403,2930,+,Verified,217411.0,220688.0,217411,220688
YBL004W,UTP20,2,227639,235120,7481,+,Verified,227532.0,235205.0,227532,235205
YBL003C,HTA2,2,235397,235795,398,-,Verified,235830.0,235224.0,235224,235830
YBL002W,HTB2,2,236495,236890,395,+,Verified,236472.0,237081.0,236472,237081
YBL001C,ECM15,2,237155,237469,314,-,Verified,237530.0,237080.0,237080,237530
YBR001C,NTH2,2,238943,241285,2342,-,Verified,241433.0,238874.0,238874,241433
YBR002C,RER2,2,241710,242570,860,-,Verified,242591.0,241601.0,241601,242591
YBR003W,COQ1,2,242811,244232,1421,+,Verified,242782.0,244362.0,242782,244362
YBR004C,GPI18,2,244368,245669,1301,-,Verified,245685.0,244275.0,244275,245685
YBR005W,RCR1,2,245908,246549,641,+,Verified,245873.0,246733.0,245873,246733
YBR006W,UGA2,2,247012,248505,1493,+,Verified,246886.0,248646.0,246886,248646
YBR007C,DSF2,2,248807,251017,2210,-,Uncharacterized,251107.0,248624.0,248624,251107
YBR008C,FLR1,2,252564,254210,1646,-,Verified,254428.0,252543.0,252543,254428
YBR009C,HHF1,2,255371,255682,311,-,Verified,255721.0,255207.0,255207,255721
YBR010W,HHT1,2,256329,256739,410,+,Verified,256301.0,256900.0,256301,256900
YBR011C,IPP1,2,257110,257973,863,-,Verified,258012.0,256998.0,256998,258012
YBR012C,YBR012C,2,259145,259564,419,-,Dubious,,,259564,259145
YBR013C,YBR013C,2,265490,265879,389,-,Uncharacterized,266023.0,265338.0,265338,266023
YBR014C,GRX7,2,266725,267336,611,-,Verified,267396.0,266529.0,266529,267396
YBR015C,MNN2,2,267710,269503,1793,-,Verified,,267571.0,267571,267710
YBR016W,YBR016W,2,270247,270633,386,+,Uncharacterized,270198.0,270836.0,270198,270836
YBR017C,KAP104,2,270947,273703,2756,-,Verified,273755.0,270773.0,270773,273755
YBR018C,GAL7,2,274427,275527,1100,-,Verified,,274283.0,274283,274427
YBR019C,GAL10,2,276253,278352,2099,-,Verified,,276151.0,276151,276253
YBR020W,GAL1,2,279021,280607,1586,+,Verified,,280655.0,279021,280655
YBR021W,FUR4,2,281443,283344,1901,+,Verified,281325.0,283434.0,281325,283434
YBR022W,POA1,2,283738,284271,533,+,Verified,283676.0,284426.0,283676,284426
YBR023C,CHS3,2,284428,287925,3497,-,Verified,288074.0,284300.0,284300,288074
YBR024W,SCO2,2,289445,290350,905,+,Verified,289353.0,290580.0,289353,290580
YBR025C,OLA1,2,290681,291865,1184,-,Verified,291886.0,290477.0,290477,291886
YBR026C,ETR1,2,292877,294019,1142,-,Verified,294040.0,292761.0,292761,294040
YBR027C,YBR027C,2,294024,294356,332,-,Dubious,,,294356,294024
YBR028C,YBR028C,2,294425,296002,1577,-,Uncharacterized,296102.0,294249.0,294249,296102
YBR029C,CDS1,2,296369,297742,1373,-,Verified,297822.0,296241.0,296241,297822
YBR030W,YBR030W,2,298292,299950,1658,+,Uncharacterized,298021.0,300119.0,298021,300119
YBR031W,RPL4A,2,300166,301254,1088,+,Verified,300150.0,301347.0,300150,301347
YBR032W,YBR032W,2,301519,301821,302,+,Dubious,,,301519,301821
YBR033W,EDS1,2,301944,304703,2759,+,Uncharacterized,,,301944,304703
YBR034C,HMT1,2,304930,305976,1046,-,Verified,305990.0,304740.0,304740,305990
YBR035C,PDX3,2,306269,306955,686,-,Verified,306982.0,306170.0,306170,306982
YBR036C,CSG2,2,309081,310313,1232,-,Verified,310361.0,308887.0,308887,310361
YBR037C,SCO1,2,310564,311451,887,-,Verified,311492.0,310494.0,310494,311492
YBR038W,CHS2,2,311897,314788,2891,+,Verified,311856.0,314970.0,311856,314970
YBR039W,ATP3,2,315575,316510,935,+,Verified,315488.0,316688.0,315488,316688
YBR040W,FIG1,2,316968,317864,896,+,Verified,316786.0,,316786,317864
YBR041W,FAT1,2,318266,320275,2009,+,Verified,318213.0,320417.0,318213,320417
YBR042C,CST26,2,320416,321609,1193,-,Verified,321654.0,320346.0,320346,321654
YBR043C,QDR3,2,321876,323945,2069,-,Verified,324094.0,321771.0,321771,324094
YBR044C,TCM62,2,324337,326058,1721,-,Verified,326141.0,324268.0,324268,326141
YBR045C,GIP1,2,328369,330090,1721,-,Verified,,328026.0,328026,328369
YBR046C,ZTA1,2,330505,331509,1004,-,Verified,331540.0,330246.0,330246,331540
YBR047W,FMP23,2,331831,332358,527,+,Uncharacterized,331778.0,332459.0,331778,332459
YBR048W,RPS11B,2,332829,333810,981,+,Verified,332811.0,334018.0,332811,334018
YBR049C,REB1,2,334384,336816,2432,-,Verified,336939.0,334139.0,334139,336939
YBR050C,REG2,2,337181,338197,1016,-,Verified,338374.0,,338197,338374
YBR051W,YBR051W,2,337986,338336,350,+,Dubious,,,337986,338336
YBR052C,RFS1,2,338718,339350,632,-,Verified,339414.0,338661.0,338661,339414
YBR053C,YBR053C,2,339673,340749,1076,-,Uncharacterized,340761.0,339539.0,339539,340761
YBR054W,YRO2,2,343099,344133,1034,+,Verified,342785.0,344358.0,342785,344358
YBR055C,PRP6,2,344600,347299,2699,-,Verified,347323.0,344507.0,344507,347323
YBR056W,YBR056W,2,347877,349382,1505,+,Uncharacterized,347752.0,349426.0,347752,349426
YBR056W-A,YBR056W-A,2,351253,351453,200,+,Dubious,,,351253,351453
YBR056C-B,YBR056C-B,2,351291,351449,158,-,Dubious,,,351449,351291
YBR057C,MUM2,2,352191,353291,1100,-,Verified,353381.0,352087.0,352087,353381
YBR058C,UBP14,2,353670,356015,2345,-,Verified,356039.0,353514.0,353514,356039
YBR058C-A,TSC3,2,356322,356564,242,-,Verified,356623.0,356151.0,356151,356623
YBR059C,AKL1,2,356859,360185,3326,-,Verified,360296.0,356760.0,356760,360296
YBR060C,ORC2,2,360650,362512,1862,-,Verified,362630.0,360607.0,360607,362630
YBR061C,TRM7,2,364785,365717,932,-,Verified,365724.0,364632.0,364632,365724
YBR062C,YBR062C,2,365974,366598,624,-,Uncharacterized,366629.0,365876.0,365876,366629
YBR063C,YBR063C,2,366968,368182,1214,-,Uncharacterized,,366865.0,366865,366968
YBR064W,YBR064W,2,367761,368189,428,+,Dubious,,,367761,368189
YBR065C,ECM2,2,368582,369676,1094,-,Verified,369748.0,368274.0,368274,369748
YBR066C,NRG2,2,370035,370697,662,-,Verified,370749.0,369946.0,369946,370749
YBR067C,TIP1,2,372100,372732,632,-,Verified,372783.0,371981.0,371981,372783
YBR068C,BAP2,2,373858,375687,1829,-,Verified,375726.0,373639.0,373639,375726
YBR069C,TAT1,2,376571,378430,1859,-,Verified,378535.0,376426.0,376426,378535
YBR070C,ALG14,2,379218,379931,713,-,Verified,379984.0,379175.0,379175,379984
YBR071W,YBR071W,2,380408,381043,635,+,Uncharacterized,380336.0,381318.0,380336,381318
YBR072W,HSP26,2,382027,382671,644,+,Verified,381953.0,382835.0,381953,382835
YBR072C-A,YBR072C-A,2,382855,383016,161,-,Uncharacterized,,382764.0,382764,382855
YBR073W,RDH54,2,383209,385983,2774,+,Verified,383149.0,386045.0,383149,386045
YBR074W,YBR074W,2,386281,389211,2930,+,Uncharacterized,386276.0,389326.0,386276,389326
YBR076W,ECM8,2,390369,391388,1019,+,Verified,,,390369,391388
YBR076C-A,YBR076C-A,2,391345,391611,266,-,Dubious,,,391611,391345
YBR077C,SLM4,2,391799,392287,488,-,Verified,392348.0,391571.0,391571,392348
