orf_name,name,chr,strand,TSS,promoter_start,promoter_stop
YAL011W,SWC3,1,+,132198,131998,132198
YAL010C,MDM10,1,-,135708,135708,135908
YAL009W,SPO7,1,+,135815,135615,135815
YAL008W,FUN14,1,+,136868,136668,136868
YAL007C,ERP2,1,-,138422,138422,138622
YAL005C,SSA1,1,-,141495,141495,141695
YAL003W,EFB1,1,+,142155,141955,142155
YAL002W,VPS8,1,+,143553,143353,143553
YAL001C,TFC3,1,-,151206,151206,151406
YAR002W,NUP60,1,+,152217,152017,152217
YAR002C-A,ERP1,1,-,154742,154742,154942
YAR003W,SWD1,1,+,154953,154753,154953
YAR007C,RFA1,1,-,158684,158684,158884
YAR008W,SEN34,1,+,158870,158670,158870
YAR014C,BUD14,1,-,169016,169016,169216
YAR015W,ADE1,1,+,169267,169067,169267
YAR018C,KIN3,1,-,171714,171714,171914
YAR027W,UIP3,1,+,183682,183482,183682
YAR028W,YAR028W,1,+,184830,184630,184830
YAR031W,PRM9,1,+,186991,186791,186991
YAR042W,SWH1,1,+,192589,192389,192589
YBL107C,YBL107C,2,-,10551,10551,10751
YBL106C,SRO77,2,-,13946,13946,14146
YBL105C,PKC1,2,-,17966,17966,18166
YBL104C,YBL104C,2,-,21298,21298,21498
YBL103C,RTG3,2,-,23789,23789,23989
YBL102W,SFT2,2,+,24010,23810,24010
YBL101C,ECM21,2,-,28583,28583,28783
YBL099W,ATP1,2,+,36763,36563,36763
YBL098W,BNA4,2,+,39122,38922,39122
YBL097W,BRN1,2,+,40778,40578,40778
YBL093C,ROX3,2,-,44995,44995,45195
YBL092W,RPL32,2,+,45579,45379,45579
YBL091C-A,SCS22,2,-,47190,47190,47390
YBL091C,MAP2,2,-,48656,48656,48856
YBL090W,MRP21,2,+,48791,48591,48791
YBL089W,AVT5,2,+,49507,49307,49507
YBL088C,TEL1,2,-,59434,59434,59634
YBL087C,RPL23A,2,-,60758,60758,60958
YBL086C,YBL086C,2,-,62723,62723,62923
YBL085W,BOI1,2,+,63658,63458,63658
YBL084C,CDC27,2,-,69540,69540,69740
YBL082C,ALG3,2,-,71406,71406,71606
YBL081W,YBL081W,2,+,71549,71349,71549
YBL080C,PET112,2,-,74775,74775,74975
YBL079W,NUP170,2,+,75203,75003,75203
YBL076C,ILS1,2,-,84267,84267,84467
YBL074C,AAR2,2,-,87801,87801,88001
YBL072C,RPS8A,2,-,89114,89114,89314
YBL069W,AST1,2,+,90667,90467,90667
YBL068W,PRS4,2,+,92363,92163,92363
YBL067C,UBP13,2,-,96171,96171,96371
YBL066C,SEF1,2,-,99055,99055,99255
YBL064C,PRX1,2,-,101226,101226,101426
YBL063W,KIP1,2,+,101888,101688,101888
YBL061C,SKT5,2,-,107512,107512,107712
YBL060W,YEL1,2,+,107872,107672,107872
YBL059W,YBL059W,2,+,110676,110476,110676
YBL058W,SHP1,2,+,111398,111198,111398
YBL057C,PTH2,2,-,113450,113450,113650
YBL056W,PTC3,2,+,113685,113485,113685
YBL055C,YBL055C,2,-,116818,116818,117018
YBL054W,YBL054W,2,+,117481,117281,117481
YBL052C,SAS3,2,-,122065,122065,122265
YBL051C,PIN4,2,-,124825,124825,125025
YBL050W,SEC17,2,+,125061,124861,125061
YBL047C,EDE1,2,-,132214,132214,132414
YBL046W,PSY4,2,+,132419,132219,132419
YBL045C,COR1,2,-,135643,135643,135843
YBL043W,ECM13,2,+,136558,136358,136558
YBL042C,FUI1,2,-,140319,140319,140519
YBL041W,PRE7,2,+,141219,141019,141219
YBL040C,ERD2,2,-,142903,142903,143103
YBL039C,URA7,2,-,145785,145785,145985
YBL038W,MRPL16,2,+,146133,145933,146133
YBL037W,APL3,2,+,147132,146932,147132
YBL036C,YBL036C,2,-,151272,151272,151472
YBL035C,POL12,2,-,153691,153691,153891
YBL034C,STU1,2,-,158218,158218,158418
YBL033C,RIB1,2,-,159712,159712,159912
YBL032W,HEK2,2,+,160097,159897,160097
YBL031W,SHE1,2,+,161668,161468,161668
YBL030C,PET9,2,-,164144,164144,164344
YBL027W,RPL19B,2,+,168374,168174,168374
YBL024W,NCL1,2,+,172531,172331,172531
YBL023C,MCM2,2,-,177614,177614,177814
YBL022C,PIM1,2,-,181397,181397,181597
YBL020W,RFT1,2,+,182322,182122,182322
YBL019W,APN2,2,+,184304,184104,184304
YBL017C,PEP1,2,-,191767,191767,191967
YBL016W,FUS3,2,+,192431,192231,192431
YBL015W,ACH1,2,+,194048,193848,194048
YBL014C,RRN6,2,-,201780,201780,201980
YBL011W,SCT1,2,+,203440,203240,203440
YBL010C,YBL010C,2,-,206946,206946,207146
YBL009W,ALK2,2,+,207155,206955,207155
YBL006C,LDB7,2,-,217136,217136,217336
YBL005W,PDR3,2,+,217411,217211,217411
YBL004W,UTP20,2,+,227532,227332,227532
YBR001C,NTH2,2,-,241433,241433,241633
YBR002C,RER2,2,-,242591,242591,242791
YBR003W,COQ1,2,+,242782,242582,242782
YBR004C,GPI18,2,-,245685,245685,245885
YBR005W,RCR1,2,+,245873,245673,245873
YBR006W,UGA2,2,+,246886,246686,246886
YBR007C,DSF2,2,-,251107,251107,251307
YBR008C,FLR1,2,-,254428,254428,254628
YBR011C,IPP1,2,-,258012,258012,258212
YBR014C,GRX7,2,-,267396,267396,267596
YBR017C,KAP104,2,-,273755,273755,273955
YBR021W,FUR4,2,+,281325,281125,281325
YBR022W,POA1,2,+,283676,283476,283676
YBR023C,CHS3,2,-,288074,288074,288274
YBR024W,SCO2,2,+,289353,289153,289353
YBR025C,OLA1,2,-,291886,291886,292086
YBR026C,ETR1,2,-,294040,294040,294240
YBR028C,YBR028C,2,-,296102,296102,296302
YBR029C,CDS1,2,-,297822,297822,298022
YBR030W,YBR030W,2,+,298021,297821,298021
YBR034C,HMT1,2,-,305990,305990,306190
YBR035C,PDX3,2,-,306982,306982,307182
YBR036C,CSG2,2,-,310361,310361,310561
YBR037C,SCO1,2,-,311492,311492,311692
YBR038W,CHS2,2,+,311856,311656,311856
YBR039W,ATP3,2,+,315488,315288,315488
YBR041W,FAT1,2,+,318213,318013,318213
YBR042C,CST26,2,-,321654,321654,321854
YBR043C,QDR3,2,-,324094,324094,324294
YBR044C,TCM62,2,-,326141,326141,326341
YBR046C,ZTA1,2,-,331540,331540,331740
YBR047W,FMP23,2,+,331778,331578,331778
YBR048W,RPS11B,2,+,332811,332611,332811
YBR049C,REB1,2,-,336939,336939,337139
YBR050C,REG2,2,-,338374,338374,338574
YBR052C,RFS1,2,-,339414,339414,339614
YBR053C,YBR053C,2,-,340761,340761,340961
YBR054W,YRO2,2,+,342785,342585,342785
YBR055C,PRP6,2,-,347323,347323,347523
YBR056W,YBR056W,2,+,347752,347552,347752
YBR057C,MUM2,2,-,353381,353381,353581
YBR058C,UBP14,2,-,356039,356039,356239
YBR059C,AKL1,2,-,360296,360296,360496
YBR060C,ORC2,2,-,362630,362630,362830
YBR061C,TRM7,2,-,365724,365724,365924
YBR062C,YBR062C,2,-,366629,366629,366829
YBR065C,ECM2,2,-,369748,369748,369948
YBR066C,NRG2,2,-,370749,370749,370949
YBR067C,TIP1,2,-,372783,372783,372983
YBR068C,BAP2,2,-,375726,375726,375926
YBR069C,TAT1,2,-,378535,378535,378735
YBR070C,ALG14,2,-,379984,379984,380184
YBR071W,YBR071W,2,+,380336,380136,380336
YBR072W,HSP26,2,+,381953,381753,381953
YBR073W,RDH54,2,+,383149,382949,383149
YBR074W,YBR074W,2,+,386276,386076,386276
YBR078W,ECM33,2,+,392942,392742,392942
YBR079C,RPG1,2,-,398296,398296,398496
YBR080C,SEC18,2,-,400910,400910,401110
YBR081C,SPT7,2,-,405391,405391,405591
YBR082C,UBC4,2,-,407228,407228,407428
YBR083W,TEC1,2,+,409116,408916,409116
YBR084W,MIS1,2,+,411034,410834,411034
YBR084C-A,RPL19A,2,-,415305,415305,415505
YBR085W,AAC3,2,+,415913,415713,415913
YBR086C,IST2,2,-,423338,423338,423538
YBR087W,RFC5,2,+,423748,423548,423748
YBR088C,POL30,2,-,425800,425800,426000
YBR092C,PHO3,2,-,429109,429109,429309
YBR093C,PHO5,2,-,430980,430980,431180
YBR094W,PBY1,2,+,431964,431764,431964
YBR095C,RXT2,2,-,435732,435732,435932
YBR096W,YBR096W,2,+,435933,435733,435933
YBR097W,VPS15,2,+,436914,436714,436914
YBR098W,MMS4,2,+,441511,441311,441511
YBR101C,FES1,2,-,444759,444759,444959
YBR102C,EXO84,2,-,447348,447348,447548
YBR103W,SIF2,2,+,447543,447343,447543
YBR104W,YMC2,2,+,449573,449373,449573
YBR105C,VID24,2,-,451989,451989,452189
YBR106W,PHO88,2,+,452619,452419,452619
YBR107C,IML3,2,-,454545,454545,454745
YBR108W,AIM3,2,+,454801,454601,454801
YBR110W,ALG1,2,+,458651,458451,458651
YBR111C,YSA1,2,-,461850,461850,462050
YBR112C,CYC8,2,-,465958,465958,466158
YBR114W,RAD16,2,+,467124,466924,467124
YBR115C,LYS2,2,-,474007,474007,474207
YBR118W,TEF2,2,+,477643,477443,477643
YBR119W,MUD1,2,+,479292,479092,479292
YBR121C,GRS1,2,-,483438,483438,483638
YBR122C,MRPL36,2,-,484530,484530,484730
YBR123C,TFC1,2,-,486753,486753,486953
YBR125C,PTC4,2,-,488553,488553,488753
YBR126C,TPS1,2,-,490493,490493,490693
YBR127C,VMA2,2,-,492880,492880,493080
YBR128C,ATG14,2,-,494141,494141,494341
YBR129C,OPY1,2,-,495368,495368,495568
YBR130C,SHE3,2,-,496923,496923,497123
YBR131W,CCZ1,2,+,497113,496913,497113
YBR132C,AGP2,2,-,501547,501547,501747
YBR133C,HSL7,2,-,504394,504394,504594
YBR136W,MEC1,2,+,505611,505411,505611
YBR137W,YBR137W,2,+,512946,512746,512946
YBR138C,YBR138C,2,-,515399,515399,515599
YBR139W,YBR139W,2,+,515653,515453,515653
YBR141C,YBR141C,2,-,528052,528052,528252
YBR142W,MAK5,2,+,528264,528064,528264
YBR143C,SUP45,2,-,532215,532215,532415
YBR145W,ADH5,2,+,533715,533515,533715
YBR146W,MRPS9,2,+,535191,534991,535191
YBR148W,YSW1,2,+,537683,537483,537683
YBR149W,ARA1,2,+,539912,539712,539912
YBR150C,TBS1,2,-,544518,544518,544718
YBR151W,APD1,2,+,544909,544709,544909
YBR153W,RIB7,2,+,547404,547204,547404
YBR154C,RPB5,2,-,549094,549094,549294
YBR155W,CNS1,2,+,549720,549520,549720
YBR156C,SLI15,2,-,553231,553231,553431
YBR157C,ICS2,2,-,554376,554376,554576
YBR158W,AMN1,2,+,556280,556080,556280
YBR159W,IFA38,2,+,558654,558454,558654
YBR160W,CDC28,2,+,559941,559741,559941
YBR161W,CSH1,2,+,561401,561201,561401
YBR162C,TOS1,2,-,564803,564803,565003
YBR163W,DEM1,2,+,565634,565434,565634
YBR164C,ARL1,2,-,568540,568540,568740
YBR165W,UBS1,2,+,568755,568555,568755
YBR166C,TYR1,2,-,571247,571247,571447
YBR168W,PEX32,2,+,572239,572039,572239
YBR170C,NPL4,2,-,578154,578154,578354
YBR171W,SEC66,2,+,578333,578133,578333
YBR172C,SMY2,2,-,581478,581478,581678
YBR175W,SWD3,2,+,582390,582190,582390
YBR176W,ECM31,2,+,583581,583381,583581
YBR177C,EHT1,2,-,586188,586188,586388
YBR179C,FZO1,2,-,589174,589174,589374
YBR181C,RPS6B,2,-,592822,592822,593022
YBR182C,SMP1,2,-,595022,595022,595222
YBR183W,YPC1,2,+,595901,595701,595901
YBR184W,YBR184W,2,+,597358,597158,597358
YBR185C,MBA1,2,-,599973,599973,600173
YBR187W,GDT1,2,+,602545,602345,602545
YBR189W,RPS9B,2,+,604465,604265,604465
YBR191W,RPL21A,2,+,606215,606015,606215
YBR192W,RIM2,2,+,607497,607297,607497
YBR193C,MED8,2,-,609808,609808,610008
YBR195C,MSI1,2,-,611870,611870,612070
YBR196C,PGI1,2,-,613930,613930,614130
YBR197C,YBR197C,2,-,615874,615874,616074
YBR198C,TAF5,2,-,618592,618592,618792
YBR199W,KTR4,2,+,618811,618611,618811
YBR200W,BEM1,2,+,620812,620612,620812
YBR201W,DER1,2,+,623435,623235,623435
YBR202W,MCM7,2,+,625737,625537,625737
YBR203W,COS111,2,+,628860,628660,628860
YBR204C,YBR204C,2,-,633438,633438,633638
YBR205W,KTR3,2,+,633570,633370,633570
YBR207W,FTH1,2,+,635089,634889,635089
YBR211C,AME1,2,-,647240,647240,647440
YBR212W,NGR1,2,+,647475,647275,647475
YBR213W,MET8,2,+,650211,650011,650211
YBR215W,HPC2,2,+,653310,653110,653310
YBR216C,YBP1,2,-,657628,657628,657828
YBR217W,ATG12,2,+,657780,657580,657780
YBR218C,PYC2,2,-,662306,662306,662506
YBR220C,YBR220C,2,-,664739,664739,664939
YBR221C,PDB1,2,-,666451,666451,666651
YBR222C,PCS60,2,-,668373,668373,668573
YBR223C,TDP1,2,-,670318,670318,670518
YBR225W,YBR225W,2,+,670487,670287,670487
YBR227C,MCX1,2,-,675187,675187,675387
YBR228W,SLX1,2,+,675308,675108,675308
YBR229C,ROT2,2,-,679223,679223,679423
YBR230C,OM14,2,-,680083,680083,680283
YBR231C,SWC5,2,-,683142,683142,683342
YBR233W,PBP2,2,+,683295,683095,683295
YBR234C,ARC40,2,-,686633,686633,686833
YBR235W,YBR235W,2,+,686815,686615,686815
YBR236C,ABD1,2,-,691726,691726,691926
YBR237W,PRP5,2,+,691920,691720,691920
YBR238C,YBR238C,2,-,697297,697297,697497
YBR239C,ERT1,2,-,700088,700088,700288
YBR241C,YBR241C,2,-,704277,704277,704477
YBR242W,YBR242W,2,+,704497,704297,704497
YBR243C,ALG7,2,-,706820,706820,707020
YBR245C,ISW1,2,-,711380,711380,711580
YBR246W,YBR246W,2,+,711543,711343,711543
YBR247C,ENP1,2,-,714471,714471,714671
YBR248C,HIS7,2,-,716548,716548,716748
YBR249C,ARO4,2,-,718079,718079,718279
YBR251W,MRPS5,2,+,721317,721117,721317
YBR254C,TRS20,2,-,724266,724266,724466
YBR255W,MTC4,2,+,724428,724228,724428
YBR256C,RIB5,2,-,728132,728132,728332
YBR257W,POP4,2,+,728849,728649,728849
YBR259W,YBR259W,2,+,730333,730133,730333
YBR260C,RGD1,2,-,734671,734671,734871
YBR261C,YBR261C,2,-,735550,735550,735750
YBR263W,SHM1,2,+,736219,736019,736219
YBR264C,YPT10,2,-,738402,738402,738602
YBR265W,TSC10,2,+,738541,738341,738541
YBR267W,REI1,2,+,739819,739619,739819
YBR270C,BIT2,2,-,744695,744695,744895
YBR271W,YBR271W,2,+,744830,744630,744830
YBR272C,HSM3,2,-,747825,747825,748025
YBR273C,UBX7,2,-,749397,749397,749597
YBR274W,CHK1,2,+,749553,749353,749553
YBR275C,RIF1,2,-,757215,757215,757415
YBR276C,PPS1,2,-,760134,760134,760334
YBR278W,DPB3,2,+,760272,760072,760272
YBR279W,PAF1,2,+,761225,761025,761225
YBR280C,SAF1,2,-,764696,764696,764896
YBR281C,DUG2,2,-,767651,767651,767851
YBR283C,SSH1,2,-,770564,770564,770764
YBR286W,APE3,2,+,774683,774483,774683
YBR287W,YBR287W,2,+,776534,776334,776534
YBR288C,APM3,2,-,779517,779517,779717
YBR289W,SNF5,2,+,779634,779434,779634
YBR290W,BSD2,2,+,782580,782380,782580
YBR291C,CTP1,2,-,784604,784604,784804
YBR293W,VBA2,2,+,787101,786901,787101
YBR294W,SUL1,2,+,789000,788800,789000
YBR295W,PCA1,2,+,792826,792626,792826
YBR296C,PHO89,2,-,798582,798582,798782
YBR297W,MAL33,2,+,800478,800278,800478
YCL064C,CHA1,3,-,16890,16890,17090
YCL063W,VAC17,3,+,17274,17074,17274
YCL061C,MRC1,3,-,22154,22154,22354
YCL059C,KRR1,3,-,23404,23404,23604
YCL057W,PRD1,3,+,24782,24582,24782
YCL055W,KAR4,3,+,27923,27723,27923
YCL054W,SPB1,3,+,31432,31232,31432
YCL052C,PBN1,3,-,35426,35426,35626
YCL051W,LRE1,3,+,35584,35384,35584
YCL050C,APA1,3,-,38863,38863,39063
YCL049C,YCL049C,3,-,40779,40779,40979
YCL047C,YCL047C,3,-,44457,44457,44657
YCL045C,YCL045C,3,-,46945,46945,47145
YCL044C,MGR1,3,-,48405,48405,48605
YCL043C,PDI1,3,-,50258,50258,50458
YCL040W,GLK1,3,+,50809,50609,50809
YCL039W,GID7,3,+,52625,52425,52625
YCL038C,ATG22,3,-,56583,56583,56783
YCL037C,SRO9,3,-,58745,58745,58945
YCL036W,GFD2,3,+,58972,58772,58972
YCL034W,LSB5,3,+,61634,61434,61634
YCL033C,YCL033C,3,-,63247,63247,63447
YCL032W,STE50,3,+,63364,63164,63364
YCL031C,RRP7,3,-,65619,65619,65819
YCL030C,HIS4,3,-,68393,68393,68593
YCL029C,BIK1,3,-,69981,69981,70181
YCL028W,RNQ1,3,+,70118,69918,70118
YCL027W,FUS1,3,+,71775,71575,71775
YCL026C-B,HBN1,3,-,74085,74085,74285
YCL025C,AGP1,3,-,77950,77950,78150
YCL024W,KCC4,3,+,79090,78890,79090
YCL017C,NFS1,3,-,94385,94385,94585
YCL016C,DCC1,3,-,95795,95795,95995
YCL014W,BUD3,3,+,96178,95978,96178
YCL011C,GBP2,3,-,103402,103402,103602
YCL010C,SGF29,3,-,104370,104370,104570
YCL009C,ILV6,3,-,105594,105594,105794
YCL008C,STP22,3,-,106857,106857,107057
YCL005W,LDB16,3,+,107975,107775,107975
YCL004W,PGS1,3,+,109025,108825,109025
YCL002C,YCL002C,3,-,111701,111701,111901
YCL001W,RER1,3,+,111895,111695,111895
YCR002C,CDC10,3,-,118391,118391,118591
YCR003W,MRPL32,3,+,118596,118396,118596
YCR004C,YCP4,3,-,120506,120506,120706
YCR005C,CIT2,3,-,122386,122386,122586
YCR008W,SAT4,3,+,128005,127805,128005
YCR009C,RVS161,3,-,131621,131621,131821
YCR011C,ADP1,3,-,137022,137022,137222
YCR012W,PGK1,3,+,137704,137504,137704
YCR015C,YCR015C,3,-,142192,142192,142392
YCR016W,YCR016W,3,+,143606,143406,143606
YCR017C,CWH43,3,-,147661,147661,147861
YCR019W,MAK32,3,+,152709,152509,152709
YCR023C,YCR023C,3,-,160459,160459,160659
YCR026C,NPP1,3,-,166409,166409,166609
YCR027C,RHB1,3,-,168170,168170,168370
YCR028C,FEN2,3,-,172538,172538,172738
YCR030C,SYP1,3,-,176493,176493,176693
YCR031C,RPS14A,3,-,178257,178257,178457
YCR032W,BPH1,3,+,179387,179187,179387
YCR033W,SNT1,3,+,186284,186084,186284
YCR034W,FEN1,3,+,190562,190362,190562
YCR035C,RRP43,3,-,193024,193024,193224
YCR036W,RBK1,3,+,193276,193076,193276
YCR037C,PHO87,3,-,197212,197212,197412
YCR042C,TAF2,3,-,205416,205416,205616
YCR044C,PER1,3,-,207964,207964,208164
YCR046C,IMG1,3,-,210425,210425,210625
YCR047C,BUD23,3,-,211630,211630,211830
YCR048W,ARE1,3,+,211881,211681,211881
YCR051W,YCR051W,3,+,214043,213843,214043
YCR052W,RSC6,3,+,214955,214755,214955
YCR053W,THR4,3,+,216652,216452,216652
YCR054C,CTR86,3,-,220141,220141,220341
YCR057C,PWP2,3,-,223286,223286,223486
YCR059C,YIH1,3,-,224243,224243,224443
YCR061W,YCR061W,3,+,225501,225301,225501
YCR065W,HCM1,3,+,229252,229052,229252
YCR066W,RAD18,3,+,231446,231246,231446
YCR067C,SED4,3,-,236425,236425,236625
YCR068W,ATG15,3,+,237079,236879,237079
YCR069W,CPR4,3,+,238904,238704,238904
YCR072C,RSA4,3,-,242374,242374,242574
YCR073C,SSK22,3,-,246645,246645,246845
YCR073W-A,SOL2,3,+,246923,246723,246923
YCR075C,ERS1,3,-,248833,248833,249033
YCR076C,YCR076C,3,-,250043,250043,250243
YCR077C,PAT1,3,-,252658,252658,252858
YCR079W,PTC6,3,+,252836,252636,252836
YCR084C,TUP1,3,-,262674,262674,262874
YCR086W,CSM1,3,+,263345,263145,263345
YCR088W,ABP1,3,+,265027,264827,265027
YCR089W,FIG2,3,+,267135,266935,267135
YCR090C,YCR090C,3,-,272888,272888,273088
YCR092C,MSH3,3,-,279853,279853,280053
YCR093W,CDC39,3,+,280084,279884,280084
YCR094W,CDC50,3,+,286696,286496,286696
YCR095C,OCA4,3,-,289293,289293,289493
YCR098C,GIT1,3,-,298576,298576,298776
YCR106W,RDS1,3,+,310925,310725,310925
YDL240W,LRG1,4,+,22651,22451,22651
YDL238C,GUD1,4,-,30482,30482,30682
YDL237W,LRC1,4,+,30625,30425,30625
YDL236W,PHO13,4,+,32259,32059,32259
YDL235C,YPD1,4,-,34042,34042,34242
YDL234C,GYP7,4,-,36615,36615,36815
YDL233W,YDL233W,4,+,36775,36575,36775
YDL231C,BRE4,4,-,42356,42356,42556
YDL230W,PTP1,4,+,42675,42475,42675
YDL227C,HO,4,-,48071,48071,48271
YDL226C,GCS1,4,-,52197,52197,52397
YDL225W,SHS1,4,+,52396,52196,52396
YDL220C,CDC13,4,-,65043,65043,65243
YDL219W,DTD1,4,+,65217,65017,65217
YDL217C,TIM22,4,-,68767,68767,68967
YDL216C,RRI1,4,-,70315,70315,70515
YDL215C,GDH2,4,-,74107,74107,74307
YDL213C,NOP6,4,-,77976,77976,78176
YDL212W,SHR3,4,+,78380,78180,78380
YDL211C,YDL211C,4,-,80446,80446,80646
YDL209C,CWC2,4,-,87249,87249,87449
YDL207W,GLE1,4,+,88211,88011,88211
YDL206W,YDL206W,4,+,90015,89815,90015
YDL205C,HEM3,4,-,93943,93943,94143
YDL203C,ACK1,4,-,98153,98153,98353
YDL202W,MRPL11,4,+,98422,98222,98422
YDL201W,TRM8,4,+,99494,99294,99494
YDL200C,MGT1,4,-,101104,101104,101304
YDL198C,GGC1,4,-,104657,104657,104857
YDL197C,ASF2,4,-,106509,106509,106709
YDL195W,SEC31,4,+,107090,106890,107090
YDL194W,SNF3,4,+,111377,111177,111377
YDL193W,NUS1,4,+,114606,114406,114606
YDL192W,ARF1,4,+,116285,116085,116285
YDL191W,RPL35A,4,+,117606,117406,117606
YDL190C,UFD2,4,-,121788,121788,121988
YDL189W,RBS1,4,+,122027,121827,122027
YDL188C,PPH22,4,-,125181,125181,125381
YDL185W,TFP1,4,+,126690,126490,126690
YDL183C,YDL183C,4,-,131908,131908,132108
YDL182W,LYS20,4,+,133412,133212,133412
YDL180W,YDL180W,4,+,135771,135571,135771
YDL179W,PCL9,4,+,138197,137997,138197
YDL178W,DLD2,4,+,139506,139306,139506
YDL177C,YDL177C,4,-,141774,141774,141974
YDL176W,YDL176W,4,+,141972,141772,141972
YDL175C,AIR2,4,-,145543,145543,145743
YDL174C,DLD1,4,-,147692,147692,147892
YDL173W,YDL173W,4,+,148143,147943,148143
YDL171C,GLT1,4,-,155897,155897,156097
YDL170W,UGA3,4,+,156291,156091,156291
YDL168W,SFA1,4,+,159549,159349,159549
YDL167C,NRP1,4,-,163198,163198,163398
YDL166C,FAP7,4,-,164097,164097,164297
YDL165W,CDC36,4,+,164229,164029,164229
YDL164C,CDC9,4,-,167306,167306,167506
YDL161W,ENT1,4,+,167699,167499,167699
YDL160C,DHH1,4,-,172215,172215,172415
YDL159W,STE7,4,+,172436,172236,172436
YDL156W,YDL156W,4,+,174825,174625,174825
YDL155W,CLB3,4,+,176634,176434,176634
YDL153C,SAS10,4,-,183045,183045,183245
YDL150W,RPC53,4,+,183233,183033,183233
YDL149W,ATG9,4,+,184881,184681,184881
YDL148C,NOP14,4,-,190617,190617,190817
YDL147W,RPN5,4,+,190874,190674,190874
YDL146W,LDB17,4,+,192568,192368,192568
YDL145C,COP1,4,-,198432,198432,198632
YDL144C,YDL144C,4,-,199743,199743,199943
YDL143W,CCT4,4,+,199962,199762,199962
YDL142C,CRD1,4,-,202635,202635,202835
YDL141W,BPL1,4,+,202801,202601,202801
YDL140C,RPO21,4,-,211105,211105,211305
YDL139C,SCM3,4,-,212078,212078,212278
YDL138W,RGT2,4,+,213176,212976,213176
YDL137W,ARF2,4,+,216037,215837,216037
YDL136W,RPL35B,4,+,217535,217335,217535
YDL135C,RDI1,4,-,219333,219333,219533
YDL134C,PPH21,4,-,221283,221283,221483
YDL133W,YDL133W,4,+,222292,222092,222292
YDL132W,CDC53,4,+,223990,223790,223990
YDL131W,LYS21,4,+,227357,227157,227357
YDL130W,RPP1B,4,+,229870,229670,229870
YDL129W,YDL129W,4,+,230872,230672,230872
YDL128W,VCX1,4,+,232591,232391,232591
YDL127W,PCL2,4,+,234856,234656,234856
YDL126C,CDC48,4,-,238714,238714,238914
YDL125C,HNT1,4,-,239598,239598,239798
YDL124W,YDL124W,4,+,240214,240014,240214
YDL120W,YFH1,4,+,245843,245643,245843
YDL117W,CYK3,4,+,248260,248060,248260
YDL116W,NUP84,4,+,251499,251299,251499
YDL115C,IWR1,4,-,255168,255168,255368
YDL113C,ATG20,4,-,258641,258641,258841
YDL112W,TRM3,4,+,258835,258635,258835
YDL111C,RRP42,4,-,264171,264171,264371
YDL108W,KIN28,4,+,267675,267475,267675
YDL107W,MSS2,4,+,268900,268700,268900
YDL106C,PHO2,4,-,271965,271965,272165
YDL105W,NSE4,4,+,272348,272148,272348
YDL104C,QRI7,4,-,274897,274897,275097
YDL103C,QRI1,4,-,276654,276654,276854
YDL102W,POL3,4,+,276780,276580,276780
YDL101C,DUN1,4,-,281909,281909,282109
YDL100C,GET3,4,-,283212,283212,283412
YDL099W,BUG1,4,+,283399,283199,283399
YDL098C,SNU23,4,-,285166,285166,285366
YDL097C,RPN6,4,-,286727,286727,286927
YDL095W,PMT1,4,+,286979,286779,286979
YDL093W,PMT5,4,+,289884,289684,289884
YDL091C,UBX3,4,-,294855,294855,295055
