chromosome,position,NCP_score,NCP_score/noise_ratio
1,17437,0.75,0.789
1,17544,0.94,0.825
1,17709,1.8,1.7480000000000002
1,17869,3.71,5.225
1,18044,2.22,4.44
1,18220,1.91,3.82
1,18372,3.09,2.759
1,18561,3.29,2.511
1,18726,4.76,4.327
1,18866,1.03,1.943
1,19054,1.64,2.562
1,19240,1.9,1.881
1,19414,4.74,1.837
1,19587,7.95,2.3040000000000003
1,19778,4.53,2.779
1,20010,2.34,2.659
1,20164,2.24,1.374
1,20379,1.17,1.671
1,20552,0.41,0.82
1,20718,0.39,0.609
1,21232,1.38,2.76
1,21348,0.73,0.89
1,21571,1.77,1.5530000000000002
1,21731,4.79,4.938
1,21885,1.26,1.2990000000000002
1,22083,2.78,1.5030000000000001
1,22245,6.87,2.29
1,22409,1.66,0.917
1,22585,0.98,1.077
1,22744,1.03,1.609
1,22877,1.21,2.42
1,23046,1.5,3.0
1,23153,0.35,0.7
1,23275,1.32,2.64
1,23424,2.22,2.3369999999999997
1,23588,1.68,2.625
1,23765,0.58,1.16
1,24005,1.19,2.052
1,24134,1.99,1.508
1,24370,3.61,1.276
1,24532,1.96,1.071
1,24694,0.86,0.4370000000000001
1,24880,1.86,0.772
1,25018,2.08,1.202
1,25132,0.44,0.415
1,25261,1.09,0.845
1,25485,1.72,1.068
1,25620,2.1,1.167
1,25806,2.08,4.16
1,26076,1.8,2.3680000000000003
1,26296,1.92,1.6130000000000002
1,26412,0.93,1.86
1,26566,3.11,6.22
1,26751,6.01,3.9539999999999997
1,26886,2.24,1.266
1,27021,1.54,1.791
1,27148,1.22,0.772
1,27337,2.07,0.578
1,27512,2.23,1.032
1,27652,1.24,0.506
1,27955,2.4,1.2309999999999999
1,28139,1.1,1.429
1,28342,1.79,3.255
1,28532,1.7,3.4
1,28843,3.01,3.01
1,29026,1.42,0.772
1,29263,1.71,1.7630000000000001
1,29395,1.77,2.81
1,29522,1.33,2.293
1,29698,1.3,2.6
1,30126,4.03,3.951
1,30289,1.78,0.764
1,30396,2.19,0.608
1,30562,3.76,1.31
1,30727,1.28,0.643
1,30885,0.66,1.179
1,31147,1.11,2.22
1,31337,0.67,0.77
1,31477,1.03,2.06
1,31602,0.87,0.9890000000000001
1,31812,2.0,0.8809999999999999
1,31930,2.17,0.544
1,32049,2.24,0.522
1,32251,1.7,0.43799999999999994
1,32404,2.02,0.687
1,32746,2.02,0.579
1,33240,1.43,0.45299999999999996
1,33392,1.89,0.522
1,33551,1.81,0.536
1,33824,3.44,0.672
1,34078,2.16,0.4970000000000001
1,34700,0.94,0.47200000000000003
1,34848,1.69,0.8009999999999999
1,35021,1.0,0.893
1,35185,2.99,1.652
1,35332,2.66,0.7959999999999999
1,35512,1.83,0.6
1,35734,3.52,1.003
1,36044,2.76,0.9359999999999999
1,36235,0.77,0.418
1,36354,0.89,0.9079999999999999
1,36568,3.17,3.2680000000000002
1,36746,2.59,1.66
1,36931,2.07,2.226
1,37079,3.27,2.637
1,37242,2.18,4.36
1,37459,2.44,1.9680000000000002
1,37598,4.78,1.331
1,37756,4.66,1.22
1,37926,2.56,0.679
1,38080,4.56,1.535
1,38232,3.9,2.097
1,38449,1.81,0.5920000000000001
1,38656,6.53,2.401
1,38815,8.54,3.285
1,38982,5.53,3.762
1,39241,4.92,3.727
1,39403,3.27,2.92
1,39596,2.15,1.7619999999999998
1,39766,2.25,1.5
1,39897,2.61,2.27
1,40089,2.79,0.982
1,40260,3.21,1.2790000000000001
1,40369,1.65,0.6679999999999999
1,40690,2.02,0.6970000000000001
1,40888,2.13,0.91
1,41010,2.5,1.19
1,41230,2.86,1.135
1,41358,4.67,1.0959999999999999
1,41541,1.98,0.574
1,41743,1.96,1.071
1,41898,1.11,1.028
1,42211,1.21,0.953
1,42391,2.14,0.93
1,42552,10.89,3.094
1,42695,7.06,2.705
1,42939,3.28,2.8280000000000003
1,43083,1.87,0.9259999999999999
1,43246,2.11,0.764
1,43503,2.06,0.638
1,43619,1.6,0.637
1,43798,1.88,0.547
1,43960,3.39,0.6729999999999999
1,44122,4.8,1.0390000000000001
1,44280,5.37,1.27
1,44636,3.51,0.7829999999999999
1,44839,5.66,1.3219999999999998
1,45008,4.01,1.412
1,45162,1.88,0.752
1,45317,0.35,0.625
1,45484,0.34,0.5
1,45608,0.49,0.98
1,45782,2.3,1.742
1,45956,3.01,1.672
1,46162,1.82,0.48
1,46286,4.46,1.112
1,46576,2.59,0.7020000000000001
1,46750,4.37,1.2670000000000001
1,46907,2.88,1.609
1,47130,3.62,1.9669999999999999
1,47311,2.69,0.915
1,47477,2.66,0.9890000000000001
1,47645,1.26,0.4920000000000001
1,47776,1.32,0.65
1,47939,2.65,1.25
1,48086,2.48,0.74
1,48254,2.73,1.5419999999999998
1,48746,2.24,0.698
1,48941,4.86,1.2209999999999999
1,49134,2.31,0.7
1,49265,2.42,1.5030000000000001
1,49415,2.57,0.899
1,49625,2.66,1.446
1,49746,2.52,1.565
1,49926,1.62,0.862
1,50056,2.11,0.963
1,50238,2.9,0.855
1,50396,2.41,0.972
1,50531,3.19,1.945
1,50677,3.17,1.1079999999999999
1,50883,3.63,1.149
1,51009,3.33,0.985
1,51173,3.42,1.248
1,51285,1.21,0.48200000000000004
1,51410,3.17,0.866
1,51585,1.8,0.57
1,51767,1.05,0.644
1,51883,1.0,0.645
1,52096,1.55,0.5760000000000001
1,52265,5.37,2.419
1,52446,7.12,3.266
1,52591,4.5,2.406
1,52848,2.01,1.896
1,53066,3.02,1.041
1,53223,3.95,1.7480000000000002
1,53557,3.23,0.912
1,53730,5.12,1.337
1,53914,6.09,2.971
1,54075,13.4,10.806
1,54227,7.11,5.688
1,54392,6.23,2.405
1,54575,7.43,2.553
1,54735,6.98,3.733
1,54974,4.18,4.058
1,55137,2.86,1.375
1,55331,1.45,1.16
1,55476,3.25,3.095
1,55627,3.07,4.149
1,55797,3.1,6.2
1,55966,5.39,4.856
1,56124,2.81,1.713
1,56335,1.63,1.442
1,56478,4.9,3.403
1,56650,4.66,1.95
1,56818,1.51,0.7509999999999999
1,57027,6.81,5.1979999999999995
1,57188,15.16,8.517000000000001
1,57338,7.13,5.485
1,57545,2.65,2.819
1,57723,1.29,0.524
1,57905,1.42,0.768
1,58086,3.43,0.785
1,58288,2.97,0.519
1,58472,5.56,1.695
1,58663,2.13,0.795
1,58815,2.63,0.809
1,59044,2.18,0.924
1,59200,2.26,0.715
1,59374,1.14,0.479
1,59612,5.77,2.5869999999999997
1,59765,2.9,0.599
1,59892,4.87,1.1540000000000001
1,60063,4.5,1.94
1,60236,2.26,1.013
1,60408,3.56,1.069
1,60550,6.79,1.6130000000000002
1,60707,5.97,1.2570000000000001
1,60880,9.46,2.2359999999999998
1,61039,6.45,2.6430000000000002
1,61315,4.03,1.255
1,61510,4.06,0.951
1,61666,3.51,0.852
1,61811,2.54,0.76
1,61999,1.4,0.5670000000000001
1,62121,1.05,0.48200000000000004
1,62238,2.44,0.946
1,62378,3.83,1.208
1,62529,2.09,1.112
1,62649,1.72,1.483
1,62815,4.76,2.532
1,62967,3.56,1.369
1,63144,7.84,2.5789999999999997
1,63319,8.41,3.3110000000000004
1,63455,9.84,5.206
1,63613,5.02,3.325
1,63772,1.97,2.494
1,63942,2.99,1.993
1,64080,1.61,0.706
1,64273,1.92,1.2890000000000001
1,64402,2.55,0.882
1,64586,3.58,0.687
1,64749,2.47,1.038
1,64877,1.03,0.429
1,64999,2.31,1.0090000000000001
1,65153,2.0,2.532
1,65276,1.13,0.843
1,65505,1.13,0.825
1,65700,0.78,1.56
1,65821,0.93,0.769
1,66012,1.45,0.718
1,66133,2.18,0.862
1,66286,1.48,0.841
1,66415,1.38,1.278
1,66532,0.81,0.506
1,66676,1.68,0.75
1,66789,1.66,0.505
1,67068,3.01,1.149
1,67315,3.74,0.757
1,67500,2.96,0.635
1,67658,2.02,0.664
1,67807,0.93,0.802
1,68404,0.65,0.89
1,68524,1.1,1.6669999999999998
1,69068,2.56,0.672
1,69230,3.33,0.812
1,69398,5.56,1.2409999999999999
1,69572,1.96,1.181
1,69738,0.35,0.7
1,69905,1.68,1.135
1,70076,1.4,0.456
1,70253,1.4,1.4140000000000001
1,70502,0.38,0.76
1,70666,1.09,1.6030000000000002
1,70797,0.79,1.58
1,71131,0.27,0.54
1,71524,0.25,0.5
1,71733,0.53,0.654
1,71969,2.73,0.6709999999999999
1,72175,1.47,0.424
1,72317,1.9,0.551
1,72487,1.71,0.546
1,72664,2.24,0.5820000000000001
1,73235,0.69,0.413
1,73404,0.79,1.58
1,73566,3.53,3.716
1,73681,1.43,1.402
1,73838,1.62,1.67
1,74056,6.45,3.505
1,74235,2.01,0.6809999999999999
1,74427,2.54,0.69
1,74614,1.8,0.723
1,74752,1.58,1.274
1,74976,1.01,2.02
1,75108,2.22,1.2830000000000001
1,75348,2.81,0.762
1,75560,2.73,1.0659999999999998
1,75701,3.96,1.76
1,75814,3.87,1.29
1,75998,5.02,2.9530000000000003
1,76170,2.71,3.346
1,76450,10.29,16.869
1,76614,9.24,4.915
1,76754,2.99,2.167
1,76916,3.52,2.011
1,77069,3.57,1.85
1,77263,4.58,2.617
1,77431,5.24,3.157
1,77591,5.38,3.563
1,77723,2.75,1.222
1,77894,5.83,2.2680000000000002
1,78057,1.52,0.535
1,78283,4.36,1.402
1,78468,4.7,1.063
1,78633,2.42,0.6
1,78872,3.6,1.29
1,78980,1.67,0.539
1,79123,3.34,0.9540000000000001
1,79355,4.06,1.455
1,79497,1.51,1.0070000000000001
1,79737,6.41,4.3610000000000015
1,79897,4.21,2.434
1,80071,4.38,3.2689999999999997
1,80190,2.23,1.104
1,80363,3.08,0.774
1,80494,1.78,0.517
1,80617,2.28,0.726
1,80793,1.95,0.894
1,80954,1.26,0.441
1,81185,1.7,0.4970000000000001
1,81558,2.96,0.634
1,81781,1.67,0.607
1,82250,2.84,1.511
1,82359,3.94,1.6840000000000002
1,82542,2.18,1.514
1,82763,6.02,6.206
1,82917,8.01,3.4530000000000003
1,83059,1.27,0.527
1,83247,1.81,1.472
1,83620,2.42,0.852
1,83775,2.64,0.737
1,83940,3.67,1.0
1,84087,2.79,0.804
1,84283,4.35,1.495
1,84443,4.06,4.413
1,84605,0.25,0.455
1,84719,3.18,3.495
1,84890,6.82,2.3680000000000003
1,85067,3.29,0.8370000000000001
1,85242,2.39,0.784
1,85396,4.66,1.569
1,85571,5.42,2.737
1,85741,6.67,4.7989999999999995
1,85890,2.61,2.373
1,86073,3.89,2.51
1,86197,6.05,3.071
1,86395,4.64,2.536
1,86548,3.78,1.38
1,86687,11.01,4.033
1,86871,11.99,7.6370000000000005
1,87032,4.68,5.318
1,87310,4.56,3.353
1,87480,3.36,1.8559999999999999
1,87640,5.06,1.7209999999999999
1,87815,2.24,1.4
1,88010,1.25,0.893
1,88158,2.37,2.043
1,88307,1.09,0.5529999999999999
1,88420,2.01,1.795
1,88563,2.36,2.5380000000000003
1,88754,2.1,0.8370000000000001
1,88994,2.47,1.273
1,89214,3.33,1.266
1,89405,4.42,1.426
1,89568,3.01,1.087
1,89743,5.04,1.551
1,89944,2.91,1.5
1,90077,3.56,2.312
1,90211,5.69,5.419
1,90365,1.31,2.0469999999999997
1,90547,1.1,1.089
1,90696,1.22,0.705
1,90848,1.53,0.845
1,91007,1.07,0.575
1,91149,1.94,1.016
1,91331,3.08,1.345
1,91477,2.92,1.64
1,91604,1.89,1.26
1,91783,2.35,0.805
1,91914,6.17,1.768
1,92089,4.95,1.6119999999999999
1,92251,1.79,1.808
1,92493,0.61,1.22
1,92894,3.79,2.06
1,93089,9.2,2.5989999999999998
1,93250,8.74,1.7309999999999999
1,93380,7.24,2.1109999999999998
1,93548,4.62,1.966
1,93767,1.37,0.737
1,93940,2.25,1.082
1,94102,1.95,0.867
1,94252,1.99,0.812
1,94426,1.47,1.176
1,94659,3.29,1.982
1,94811,2.42,0.858
1,95000,2.34,0.718
1,95177,2.95,1.359
1,95360,2.46,1.113
1,95539,2.64,2.3569999999999998
1,95705,0.94,0.797
1,95873,0.68,0.479
1,95999,0.64,0.41600000000000004
1,96188,1.53,0.619
1,96368,2.82,1.022
1,96536,2.12,0.883
1,96732,1.69,0.732
1,96898,3.69,1.139
1,97017,2.36,0.57
1,97194,3.51,0.946
1,97338,3.65,1.008
1,97450,2.61,0.752
1,97672,3.81,1.518
1,97797,5.33,1.931
1,97958,6.6,2.727
1,98109,2.89,2.079
1,98299,2.95,1.311
1,98430,3.14,1.09
1,98590,4.27,1.675
1,98791,1.27,1.058
1,98922,3.06,1.9369999999999998
1,99065,4.51,2.8539999999999996
1,99247,5.68,3.1910000000000003
1,99396,4.58,2.9360000000000004
1,99556,2.8,1.7830000000000001
1,99739,5.93,9.565
1,100038,0.8,1.6
1,100194,1.85,1.005
1,100325,8.27,3.759
1,100491,3.63,1.891
1,100653,6.92,3.866
1,100815,5.25,3.017
1,100978,1.33,0.8009999999999999
1,101143,1.5,3.0
1,101464,1.69,2.9139999999999997
1,101616,2.7,1.837
1,101798,3.78,1.7830000000000001
1,101969,3.61,1.399
1,102118,3.12,1.825
1,102337,2.33,0.8290000000000001
1,102454,1.8,0.914
1,102570,3.7,1.9580000000000002
1,102679,2.82,1.064
1,102887,3.43,1.147
1,103045,2.11,1.0190000000000001
1,103227,2.91,1.043
1,103386,3.87,1.206
1,103587,7.06,1.8980000000000001
1,103765,3.72,1.31
1,103875,1.0,0.4270000000000001
1,103997,3.04,1.4980000000000002
1,104125,2.1,0.775
1,104303,7.87,3.111
1,104453,2.44,0.8
1,104644,3.18,1.567
1,104793,10.6,3.719
1,104967,4.99,1.615
1,105112,2.05,1.057
1,105268,1.64,1.197
1,105428,3.76,2.87
1,105592,4.4,3.056
1,105754,3.16,2.9530000000000003
1,105924,3.24,4.101
1,106196,3.95,7.9
1,106374,5.11,1.4809999999999999
1,106548,8.15,2.079
1,106659,3.01,0.865
1,106911,5.06,1.591
1,107085,2.74,1.062
1,107277,2.16,0.5479999999999999
1,107440,4.14,1.274
1,107601,6.34,2.013
1,107816,2.03,0.757
1,107959,2.09,0.647
1,108094,1.98,1.005
1,108318,1.63,0.836
1,108446,1.2,0.6559999999999999
1,108623,2.09,2.272
1,108780,0.49,0.961
1,108924,4.92,2.674
1,109087,10.86,3.321
1,109266,7.25,2.309
1,109426,8.0,3.089
1,109587,3.94,1.465
1,109751,3.05,0.8290000000000001
1,109911,10.57,3.3339999999999996
1,110086,3.75,1.41
1,110245,7.08,3.955
1,110406,4.34,3.239
1,110652,0.94,1.88
1,110850,4.33,1.9240000000000002
1,111023,3.71,1.185
1,111179,2.15,1.005
1,111301,3.16,1.1840000000000002
1,111459,2.22,0.6729999999999999
1,111608,2.59,0.82
1,111910,2.48,0.723
1,112120,1.78,0.7390000000000001
1,112408,4.16,0.937
1,112566,4.03,0.9259999999999999
1,112697,1.52,0.505
1,112856,2.78,0.885
1,113004,4.37,1.252
1,113185,7.28,1.811
1,113357,7.12,2.637
1,113614,10.42,4.053999999999999
1,113782,6.8,2.105
1,113935,5.44,1.7380000000000002
1,114098,1.67,0.515
1,114252,3.67,1.0
1,114422,5.74,1.242
1,114593,5.92,1.8330000000000002
1,114863,14.76,9.972999999999999
1,115026,4.68,1.821
1,115204,11.69,5.218999999999999
1,115354,11.71,5.159
1,115569,2.6,0.977
1,115680,5.2,1.806
1,115849,4.76,1.756
1,116013,6.27,2.1109999999999998
1,116172,7.04,1.7380000000000002
1,116325,8.76,2.8169999999999997
1,116488,3.0,0.843
1,116663,2.31,0.955
1,116794,1.74,0.946
1,116968,1.16,0.951
1,117141,2.83,1.466
1,117305,3.09,0.88
1,117448,6.48,2.571
1,117608,2.34,0.86
1,117727,2.92,1.115
1,117889,3.45,1.734
1,118113,2.2,0.701
1,118257,1.6,1.194
1,118521,2.17,2.1069999999999998
1,118733,2.3,1.345
1,118908,2.82,1.567
1,119085,7.74,3.969
1,119244,9.65,3.3160000000000003
1,119426,15.14,7.142
1,119589,2.94,2.97
1,119739,0.29,0.58
1,119915,6.97,7.92
1,120087,4.66,5.178
1,120249,1.0,0.431
1,120448,2.25,1.2229999999999999
1,120707,5.34,2.272
1,120877,1.59,0.685
1,121041,1.16,0.507
1,121202,2.4,0.93
1,121362,1.57,0.867
1,121512,2.92,1.49
1,121680,10.4,5.279
1,121829,3.05,1.86
1,121979,1.71,1.056
1,122101,1.83,1.0759999999999998
1,122408,1.98,1.053
1,122552,0.46,0.41100000000000003
1,122689,0.6,0.606
1,122822,1.56,1.099
1,123000,3.16,1.4909999999999999
1,123151,1.84,0.9059999999999999
1,123324,2.25,1.585
1,123500,2.05,0.81
1,123643,3.15,1.676
1,123792,0.97,0.5770000000000001
1,123914,1.01,0.419
1,124038,3.84,1.136
1,124217,3.63,1.599
1,124393,1.13,1.256
1,124573,0.91,1.82
1,124694,0.5,0.725
1,124831,8.54,3.31
1,125002,7.16,2.469
1,125154,8.18,3.588
1,125348,3.56,2.282
1,125479,3.22,1.6769999999999998
1,125631,4.46,2.385
1,125775,3.0,1.235
1,126061,2.45,0.851
1,126366,2.05,1.02
1,126527,3.54,1.192
1,126686,3.79,1.6340000000000001
1,126826,1.34,1.696
1,127010,2.05,0.7120000000000001
1,127164,5.36,1.3230000000000002
1,127362,2.33,0.621
1,127556,1.54,0.5479999999999999
1,127695,2.62,0.932
1,127881,4.17,1.0270000000000001
1,128093,1.31,1.845
1,128263,3.17,1.791
1,128391,8.45,2.616
1,128534,13.26,2.908
1,128685,21.33,4.881
1,128849,5.32,1.5930000000000002
1,129007,4.11,1.827
1,129294,3.75,2.0380000000000003
1,129452,7.6,2.764
1,129636,2.63,0.92
1,129810,2.37,1.37
1,129930,1.97,0.601
1,130145,2.57,0.494
1,130309,2.84,1.114
1,130483,2.17,1.669
1,130597,0.32,0.64
1,130801,1.52,0.768
1,130936,1.64,0.605
1,131283,4.09,1.054
1,131636,3.53,0.7170000000000001
1,131812,6.39,1.34
1,131980,4.04,1.683
1,132235,1.93,0.76
1,132400,4.26,1.327
1,132559,6.63,2.6839999999999997
1,132710,2.19,1.36
1,132926,1.63,1.5090000000000001
1,133050,3.62,2.168
1,133209,6.2,1.92
1,133389,4.6,1.311
1,133553,2.41,0.883
1,133767,2.64,1.173
1,133958,1.7,0.924
1,134090,2.01,1.036
1,134261,1.19,0.58
1,134381,0.83,0.449
1,134526,2.29,1.09
1,134666,3.68,2.314
1,134838,5.06,3.1430000000000002
1,135009,3.88,1.024
1,135170,6.14,2.291
1,135319,7.62,3.908
1,135504,2.87,1.095
1,135654,1.0,0.649
1,135869,2.41,0.968
1,136041,6.42,3.057
1,136191,4.49,2.772
1,136351,1.28,0.9009999999999999
1,136536,3.24,1.032
1,136690,4.83,1.844
1,136866,3.38,1.2570000000000001
1,137065,2.81,0.5489999999999999
1,137254,2.76,0.648
1,137429,2.72,1.22
1,137543,0.68,0.466
1,137656,0.96,0.662
1,137787,1.63,0.8859999999999999
1,137929,4.12,2.191
1,138038,2.78,1.455
1,138221,3.64,1.011
1,138366,2.91,1.244
1,138515,0.79,0.5770000000000001
1,138649,1.12,0.762
1,138814,1.91,0.7290000000000001
1,138973,2.51,1.19
1,139171,0.34,0.654
1,139610,2.38,0.48200000000000004
1,139800,1.46,1.0070000000000001
1,139916,0.7,1.25
1,140133,0.85,0.545
1,140300,0.7,0.642
1,140484,0.54,1.0590000000000002
1,140651,0.32,0.64
1,140781,0.39,0.78
1,141094,0.38,0.7040000000000001
1,141809,0.37,0.74
1,142059,0.4,0.8
1,142235,0.91,0.7709999999999999
1,142497,0.54,0.72
1,142645,1.13,0.433
1,142793,2.61,0.6809999999999999
1,143012,1.6,0.59
1,143329,0.78,1.5290000000000001
1,143471,0.66,0.629
1,143634,2.13,1.401
1,143789,2.38,0.604
1,143933,4.35,1.148
1,144108,3.44,0.815
1,144306,2.65,0.631
1,144471,1.71,0.795
1,144607,2.66,1.574
1,144752,6.64,2.206
1,144924,7.51,2.209
1,145052,3.71,1.0190000000000001
1,145253,5.83,1.69
1,145360,3.07,1.104
1,145517,1.87,0.48200000000000004
1,145718,1.18,0.46299999999999997
1,145847,2.54,0.758
1,145995,3.48,0.983
1,146154,2.71,1.0590000000000002
1,146311,1.56,1.393
1,146429,1.31,0.78
1,146548,2.74,1.212
1,146679,1.89,0.94
1,146836,2.79,1.274
1,147017,5.57,2.995
1,147166,5.14,2.937
1,147278,0.57,0.419
1,147451,0.95,0.621
1,147599,1.55,0.787
1,147790,6.5,2.5
1,147970,4.7,1.661
1,148166,5.45,1.6869999999999998
1,148296,2.81,0.8009999999999999
1,148517,1.28,0.731
1,148712,2.7,1.9569999999999999
1,148865,5.15,2.146
1,149016,3.41,1.68
1,149136,2.28,2.171
1,149250,0.46,0.42200000000000004
1,149366,3.42,1.341
1,149541,6.88,2.6260000000000003
1,149759,1.91,2.011
1,149917,1.05,1.04
1,150057,0.63,0.7
1,150215,2.98,1.4469999999999998
1,150337,2.66,0.787
1,150517,1.42,0.511
1,150668,4.83,1.615
1,150800,2.8,0.924
1,150977,3.69,1.4469999999999998
1,151156,2.96,1.91
1,151360,0.56,1.12
1,151542,4.71,9.42
1,151703,3.3,5.1560000000000015
1,151852,1.86,2.583
1,151998,1.62,3.24
1,152262,2.14,2.488
1,152435,5.41,4.546
1,152600,5.35,5.944
1,152801,3.84,1.347
1,152939,5.55,1.464
1,153098,4.78,1.189
1,153355,2.48,0.867
1,153600,1.76,1.06
1,153713,0.82,0.45799999999999996
1,153853,1.02,0.5670000000000001
1,154002,1.01,1.262
1,154150,6.21,2.535
1,154298,4.92,1.3630000000000002
1,154427,2.26,1.013
1,154538,3.62,0.9229999999999999
1,154715,7.95,5.336
1,154868,0.41,0.82
1,154993,2.56,2.016
1,155153,7.27,2.569
1,155318,5.27,1.7990000000000002
1,155501,4.25,1.371
1,155663,4.31,1.235
1,155816,7.26,1.402
1,155990,7.44,1.734
1,156152,3.67,1.253
1,156335,2.44,1.4269999999999998
1,156464,2.89,1.314
1,156630,2.94,2.162
1,156738,1.17,0.466
1,156945,4.04,1.002
1,157110,2.78,0.9890000000000001
1,157326,2.15,1.0390000000000001
1,157491,2.01,0.852
1,157650,2.87,1.4140000000000001
1,157823,7.72,6.0310000000000015
1,157968,10.69,8.417
1,158140,2.46,1.8090000000000002
1,158299,2.91,1.6440000000000001
1,158471,4.76,3.071
1,158648,4.38,4.4239999999999995
1,158909,2.01,2.3930000000000002
1,159079,7.24,3.8510000000000004
1,159229,7.46,3.7489999999999997
1,159393,1.94,0.55
1,159505,4.02,1.139
1,159667,4.22,1.611
1,159829,1.66,0.927
1,159944,1.43,1.1440000000000001
1,160151,2.21,0.9740000000000001
1,160323,1.12,1.556
1,160835,0.26,0.52
1,161015,1.1,1.774
1,161175,0.79,1.197
1,161319,0.84,1.68
1,161485,0.4,0.8
1,161607,0.43,0.86
1,161846,0.73,1.46
1,162013,0.5,1.0
1,162356,0.49,0.98
1,162516,0.43,0.86
1,162715,0.39,0.78
1,163201,0.72,1.44
1,163380,0.9,1.8
1,163530,0.36,0.72
1,163648,0.36,0.72
1,163813,0.7,1.4
1,164057,0.5,0.862
1,164321,0.44,0.88
1,164677,0.32,0.64
1,164841,0.46,0.92
1,164973,0.39,0.78
1,165201,0.5,1.0
1,165355,0.48,0.96
1,165554,0.9,1.8
1,165721,0.73,1.46
1,165828,0.21,0.42
1,165942,0.33,0.66
1,166076,0.23,0.46
1,166210,1.08,1.038
1,166621,3.51,3.582
1,166769,2.3,1.06
1,166893,1.77,0.7
1,167064,2.21,1.315
1,167178,1.0,0.488
1,167322,4.37,2.042
1,167481,4.7,1.46
1,167658,3.05,0.711
1,167807,5.38,2.053
1,167955,4.82,1.335
1,168124,4.06,1.713
1,168295,3.82,2.0540000000000003
1,168455,4.57,3.241
1,168639,9.27,5.207999999999998
1,168801,12.29,7.586
1,168965,4.4,4.074
1,169276,2.62,1.3030000000000002
1,169438,3.46,0.691
1,169593,8.28,2.25
1,169819,2.68,0.835
1,169957,3.68,1.26
1,170111,3.12,0.848
1,170251,2.95,0.716
1,170602,1.39,0.47600000000000003
1,170711,2.01,0.624
1,170892,7.24,1.861
1,171027,4.35,1.107
1,171150,2.69,0.851
1,171343,1.79,0.9420000000000001
1,171520,2.58,1.6969999999999998
1,171684,2.91,3.345
1,171922,0.31,0.62
1,172125,0.64,0.634
1,172298,1.4,0.7140000000000001
1,172460,1.16,0.983
1,172674,1.47,0.831
1,172857,1.48,0.4970000000000001
1,173030,3.39,1.534
1,173172,2.17,0.7829999999999999
1,173301,3.34,1.369
1,173415,2.06,0.723
1,173666,5.61,2.318
1,173822,3.42,0.95
1,173992,7.12,2.414
1,174142,2.89,1.199
1,174289,7.53,2.597
1,174436,4.71,1.514
1,174605,5.73,1.716
