name,orf_name,chr,start,stop,length,strand,orf_class
ERP1,YAR002C-A,1,154067,154726,659,-,Verified
SWD1,YAR003W,1,155007,156287,1280,+,Verified
RFA1,YAR007C,1,156756,158621,1865,-,Verified
SEN34,YAR008W,1,158967,159794,827,+,Verified
BUD14,YAR014C,1,166743,168866,2123,-,Verified
ADE1,YAR015W,1,169370,170290,920,+,Verified
KIN3,YAR018C,1,170391,171698,1307,-,Verified
CDC15,YAR019C,1,172209,175133,2924,-,Verified
YAR019W-A,YAR019W-A,1,174996,175340,344,+,Dubious
PAU7,YAR020C,1,176854,177021,167,-,Verified
YAR023C,YAR023C,1,179279,179818,539,-,Uncharacterized
UIP3,YAR027W,1,183764,184471,707,+,Verified
YAR028W,YAR028W,1,184886,185590,704,+,Uncharacterized
YAR029W,YAR029W,1,186315,186539,224,+,Uncharacterized
YAR030C,YAR030C,1,186506,186847,341,-,Dubious
PRM9,YAR031W,1,186830,187726,896,+,Verified
MST28,YAR033W,1,188101,188805,704,+,Verified
YAT1,YAR035W,1,190187,192250,2063,+,Verified
YAR035C-A,YAR035C-A,1,192331,192411,80,-,Uncharacterized
SWH1,YAR042W,1,192613,196179,3566,+,Verified
YAR047C,YAR047C,1,201460,201780,320,-,Dubious
FLO1,YAR050W,1,203394,208007,4613,+,Verified
YAR053W,YAR053W,1,208358,208654,296,+,Dubious
YAR060C,YAR060C,1,217148,217483,335,-,Dubious
YAR064W,YAR064W,1,220189,220488,299,+,Uncharacterized
YAR066W,YAR066W,1,221040,221651,611,+,Uncharacterized
YAR068W,YAR068W,1,222397,222882,485,+,Uncharacterized
YAR069C,YAR069C,1,224002,224295,293,-,Dubious
YAR070C,YAR070C,1,224554,224853,299,-,Dubious
PHO11,YAR071W,1,225451,226854,1403,+,Verified
IMD1,YAR073W,1,227733,228944,1211,+,Dubious
YAR075W,YAR075W,1,228835,229308,473,+,Dubious
YBL113C,YBL113C,2,280,2658,2378,-,Uncharacterized
YBL113W-A,YBL113W-A,2,646,1128,482,+,Dubious
YBL112C,YBL112C,2,2582,2899,317,-,Uncharacterized
YBL111C,YBL111C,2,2907,5009,2102,-,Uncharacterized
YBL109W,YBL109W,2,5790,6125,335,+,Dubious
PAU9,YBL108C-A,2,7605,7733,128,-,Uncharacterized
YBL108W,YBL108W,2,8177,8482,305,+,Dubious
YBL107W-A,YBL107W-A,2,9268,9372,104,+,Dubious
YBL107C,YBL107C,2,9961,10551,590,-,Uncharacterized
SRO77,YBL106C,2,10847,13879,3032,-,Verified
PKC1,YBL105C,2,14241,17696,3455,-,Verified
YBL104C,YBL104C,2,18177,21293,3116,-,Uncharacterized
RTG3,YBL103C,2,22075,23535,1460,-,Verified
SFT2,YBL102W,2,24098,24745,647,+,Verified
ECM21,YBL101C,2,24946,28299,3353,-,Verified
YBL100W-C,YBL100W-C,2,28427,28546,119,+,Uncharacterized
YBL100C,YBL100C,2,36986,37300,314,-,Dubious
ATP1,YBL099W,2,37050,38687,1637,+,Verified
BNA4,YBL098W,2,39142,40524,1382,+,Verified
BRN1,YBL097W,2,40828,43092,2264,+,Verified
YBL096C,YBL096C,2,43171,43479,308,-,Dubious
YBL095W,YBL095W,2,43274,44086,812,+,Uncharacterized
YBL094C,YBL094C,2,43762,44094,332,-,Dubious
ROX3,YBL093C,2,44253,44915,662,-,Verified
RPL32,YBL092W,2,45642,46367,725,+,Verified
SCS22,YBL091C-A,2,46562,47177,615,-,Verified
MAP2,YBL091C,2,47360,48625,1265,-,Verified
MRP21,YBL090W,2,48822,49355,533,+,Verified
AVT5,YBL089W,2,49571,50950,1379,+,Verified
TEL1,YBL088C,2,51016,59379,8363,-,Verified
RPL23A,YBL087C,2,59818,60735,917,-,Verified
YBL086C,YBL086C,2,61199,62599,1400,-,Uncharacterized
BOI1,YBL085W,2,63873,66815,2942,+,Verified
CDC27,YBL084C,2,67166,69442,2276,-,Verified
YBL083C,YBL083C,2,69710,70135,425,-,Dubious
ALG3,YBL082C,2,69748,71124,1376,-,Verified
YBL081W,YBL081W,2,71863,72969,1106,+,Uncharacterized
PET112,YBL080C,2,73067,74692,1625,-,Verified
NUP170,YBL079W,2,75256,79764,4508,+,Verified
ATG8,YBL078C,2,80375,80728,353,-,Verified
YBL077W,YBL077W,2,80895,81326,431,+,Dubious
ILS1,YBL076C,2,81041,84259,3218,-,Verified
SSA3,YBL075C,2,84497,86446,1949,-,Verified
AAR2,YBL074C,2,86720,87787,1067,-,Verified
YBL073W,YBL073W,2,87644,87955,311,+,Dubious
RPS8A,YBL072C,2,88521,89438,917,-,Verified
YBL071C-B,YBL071C-B,2,89456,89554,98,-,Uncharacterized
KTI11,YBL071W-A,2,89976,90224,248,+,Verified
YBL071C,YBL071C,2,90221,90529,308,-,Dubious
YBL070C,YBL070C,2,90603,90923,320,-,Dubious
AST1,YBL069W,2,90739,92028,1289,+,Verified
YBL068W-A,YBL068W-A,2,91792,92028,236,+,Dubious
PRS4,YBL068W,2,92412,93395,983,+,Verified
UBP13,YBL067C,2,93641,95884,2243,-,Verified
SEF1,YBL066C,2,96671,100117,3446,-,Verified
YBL065W,YBL065W,2,99965,100309,344,+,Dubious
PRX1,YBL064C,2,100373,101158,785,-,Verified
KIP1,YBL063W,2,101888,105223,3335,+,Verified
YBL062W,YBL062W,2,105310,105690,380,+,Dubious
SKT5,YBL061C,2,105318,107408,2090,-,Verified
YEL1,YBL060W,2,107934,109997,2063,+,Uncharacterized
YBL059C-A,YBL059C-A,2,110127,110541,414,-,Uncharacterized
YBL059W,YBL059W,2,110596,111246,650,+,Uncharacterized
SHP1,YBL058W,2,111439,112710,1271,+,Verified
PTH2,YBL057C,2,112803,113447,644,-,Verified
PTC3,YBL056W,2,113765,115171,1406,+,Verified
YBL055C,YBL055C,2,115576,116832,1256,-,Verified
YBL054W,YBL054W,2,117592,119169,1577,+,Uncharacterized
YBL053W,YBL053W,2,119338,119712,374,+,Dubious
SAS3,YBL052C,2,119382,121877,2495,-,Verified
PIN4,YBL051C,2,122756,124762,2006,-,Verified
SEC17,YBL050W,2,125128,126122,994,+,Verified
MOH1,YBL049W,2,126831,127247,416,+,Verified
YBL048W,YBL048W,2,127302,127613,311,+,Dubious
EDE1,YBL047C,2,127898,132043,4145,-,Verified
PSY4,YBL046W,2,132427,133752,1325,+,Verified
COR1,YBL045C,2,134146,135519,1373,-,Verified
YBL044W,YBL044W,2,136001,136369,368,+,Uncharacterized
ECM13,YBL043W,2,136691,137464,773,+,Verified
FUI1,YBL042C,2,138344,140263,1919,-,Verified
PRE7,YBL041W,2,141250,141975,725,+,Verified
ERD2,YBL040C,2,142115,142871,756,-,Verified
YBL039W-B,YBL039W-B,2,143396,143575,179,+,Uncharacterized
URA7,YBL039C,2,143992,145731,1739,-,Verified
YBL039C-A,YBL039C-A,2,144951,145034,83,-,Dubious
MRPL16,YBL038W,2,146190,146888,698,+,Verified
APL3,YBL037W,2,147212,150289,3077,+,Verified
YBL036C,YBL036C,2,150450,151223,773,-,Verified
POL12,YBL035C,2,151496,153613,2117,-,Verified
STU1,YBL034C,2,153851,158392,4541,-,Verified
RIB1,YBL033C,2,158659,159696,1037,-,Verified
HEK2,YBL032W,2,160187,161332,1145,+,Verified
SHE1,YBL031W,2,161702,162718,1016,+,Verified
PET9,YBL030C,2,163044,164000,956,-,Verified
YBL029C-A,YBL029C-A,2,164491,164775,284,-,Uncharacterized
YBL029W,YBL029W,2,166137,167267,1130,+,Uncharacterized
YBL028C,YBL028C,2,167521,167841,320,-,Verified
RPL19B,YBL027W,2,168426,169379,953,+,Verified
LSM2,YBL026W,2,170626,171041,415,+,Verified
RRN10,YBL025W,2,171484,171921,437,+,Verified
NCL1,YBL024W,2,172537,174591,2054,+,Verified
MCM2,YBL023C,2,174923,177529,2606,-,Verified
PIM1,YBL022C,2,177877,181278,3401,-,Verified
HAP3,YBL021C,2,181663,182097,434,-,Verified
RFT1,YBL020W,2,182404,184128,1724,+,Verified
APN2,YBL019W,2,184356,185918,1562,+,Verified
POP8,YBL018C,2,186001,186477,476,-,Verified
PEP1,YBL017C,2,186847,191586,4739,-,Verified
FUS3,YBL016W,2,192454,193515,1061,+,Verified
ACH1,YBL015W,2,194125,195705,1580,+,Verified
RRN6,YBL014C,2,199067,201751,2684,-,Verified
FMT1,YBL013W,2,202059,203264,1205,+,Verified
YBL012C,YBL012C,2,203409,203810,401,-,Dubious
SCT1,YBL011W,2,203541,205820,2279,+,Verified
YBL010C,YBL010C,2,206110,206952,842,-,Uncharacterized
ALK2,YBL009W,2,207197,209227,2030,+,Verified
YBL008W-A,YBL008W-A,2,209412,209651,239,+,Uncharacterized
HIR1,YBL008W,2,209656,212178,2522,+,Verified
SLA1,YBL007C,2,212635,216369,3734,-,Verified
LDB7,YBL006C,2,216590,217132,542,-,Verified
YBL006W-A,YBL006W-A,2,216714,216863,149,+,Dubious
PDR3,YBL005W,2,217473,220403,2930,+,Verified
UTP20,YBL004W,2,227639,235120,7481,+,Verified
HTA2,YBL003C,2,235397,235795,398,-,Verified
HTB2,YBL002W,2,236495,236890,395,+,Verified
ECM15,YBL001C,2,237155,237469,314,-,Verified
NTH2,YBR001C,2,238943,241285,2342,-,Verified
RER2,YBR002C,2,241710,242570,860,-,Verified
COQ1,YBR003W,2,242811,244232,1421,+,Verified
GPI18,YBR004C,2,244368,245669,1301,-,Verified
RCR1,YBR005W,2,245908,246549,641,+,Verified
UGA2,YBR006W,2,247012,248505,1493,+,Verified
DSF2,YBR007C,2,248807,251017,2210,-,Uncharacterized
FLR1,YBR008C,2,252564,254210,1646,-,Verified
HHF1,YBR009C,2,255371,255682,311,-,Verified
HHT1,YBR010W,2,256329,256739,410,+,Verified
IPP1,YBR011C,2,257110,257973,863,-,Verified
YBR012C,YBR012C,2,259145,259564,419,-,Dubious
YBR013C,YBR013C,2,265490,265879,389,-,Uncharacterized
GRX7,YBR014C,2,266725,267336,611,-,Verified
MNN2,YBR015C,2,267710,269503,1793,-,Verified
YBR016W,YBR016W,2,270247,270633,386,+,Uncharacterized
KAP104,YBR017C,2,270947,273703,2756,-,Verified
GAL7,YBR018C,2,274427,275527,1100,-,Verified
GAL10,YBR019C,2,276253,278352,2099,-,Verified
GAL1,YBR020W,2,279021,280607,1586,+,Verified
FUR4,YBR021W,2,281443,283344,1901,+,Verified
POA1,YBR022W,2,283738,284271,533,+,Verified
CHS3,YBR023C,2,284428,287925,3497,-,Verified
SCO2,YBR024W,2,289445,290350,905,+,Verified
OLA1,YBR025C,2,290681,291865,1184,-,Verified
ETR1,YBR026C,2,292877,294019,1142,-,Verified
YBR027C,YBR027C,2,294024,294356,332,-,Dubious
YBR028C,YBR028C,2,294425,296002,1577,-,Uncharacterized
CDS1,YBR029C,2,296369,297742,1373,-,Verified
YBR030W,YBR030W,2,298292,299950,1658,+,Uncharacterized
RPL4A,YBR031W,2,300166,301254,1088,+,Verified
YBR032W,YBR032W,2,301519,301821,302,+,Dubious
EDS1,YBR033W,2,301944,304703,2759,+,Uncharacterized
HMT1,YBR034C,2,304930,305976,1046,-,Verified
PDX3,YBR035C,2,306269,306955,686,-,Verified
CSG2,YBR036C,2,309081,310313,1232,-,Verified
SCO1,YBR037C,2,310564,311451,887,-,Verified
CHS2,YBR038W,2,311897,314788,2891,+,Verified
ATP3,YBR039W,2,315575,316510,935,+,Verified
FIG1,YBR040W,2,316968,317864,896,+,Verified
FAT1,YBR041W,2,318266,320275,2009,+,Verified
CST26,YBR042C,2,320416,321609,1193,-,Verified
QDR3,YBR043C,2,321876,323945,2069,-,Verified
TCM62,YBR044C,2,324337,326058,1721,-,Verified
GIP1,YBR045C,2,328369,330090,1721,-,Verified
ZTA1,YBR046C,2,330505,331509,1004,-,Verified
FMP23,YBR047W,2,331831,332358,527,+,Uncharacterized
RPS11B,YBR048W,2,332829,333810,981,+,Verified
REB1,YBR049C,2,334384,336816,2432,-,Verified
REG2,YBR050C,2,337181,338197,1016,-,Verified
YBR051W,YBR051W,2,337986,338336,350,+,Dubious
RFS1,YBR052C,2,338718,339350,632,-,Verified
YBR053C,YBR053C,2,339673,340749,1076,-,Uncharacterized
YRO2,YBR054W,2,343099,344133,1034,+,Verified
PRP6,YBR055C,2,344600,347299,2699,-,Verified
YBR056W,YBR056W,2,347877,349382,1505,+,Uncharacterized
YBR056W-A,YBR056W-A,2,351253,351453,200,+,Dubious
YBR056C-B,YBR056C-B,2,351291,351449,158,-,Dubious
MUM2,YBR057C,2,352191,353291,1100,-,Verified
UBP14,YBR058C,2,353670,356015,2345,-,Verified
TSC3,YBR058C-A,2,356322,356564,242,-,Verified
AKL1,YBR059C,2,356859,360185,3326,-,Verified
ORC2,YBR060C,2,360650,362512,1862,-,Verified
TRM7,YBR061C,2,364785,365717,932,-,Verified
YBR062C,YBR062C,2,365974,366598,624,-,Uncharacterized
YBR063C,YBR063C,2,366968,368182,1214,-,Uncharacterized
YBR064W,YBR064W,2,367761,368189,428,+,Dubious
ECM2,YBR065C,2,368582,369676,1094,-,Verified
NRG2,YBR066C,2,370035,370697,662,-,Verified
TIP1,YBR067C,2,372100,372732,632,-,Verified
BAP2,YBR068C,2,373858,375687,1829,-,Verified
TAT1,YBR069C,2,376571,378430,1859,-,Verified
ALG14,YBR070C,2,379218,379931,713,-,Verified
YBR071W,YBR071W,2,380408,381043,635,+,Uncharacterized
HSP26,YBR072W,2,382027,382671,644,+,Verified
YBR072C-A,YBR072C-A,2,382855,383016,161,-,Uncharacterized
RDH54,YBR073W,2,383209,385983,2774,+,Verified
YBR074W,YBR074W,2,386281,389211,2930,+,Uncharacterized
ECM8,YBR076W,2,390369,391388,1019,+,Verified
YBR076C-A,YBR076C-A,2,391345,391611,266,-,Dubious
SLM4,YBR077C,2,391799,392287,488,-,Verified
ECM33,YBR078W,2,393118,394854,1736,+,Verified
RPG1,YBR079C,2,395377,398271,2894,-,Verified
SEC18,YBR080C,2,398608,400884,2276,-,Verified
SPT7,YBR081C,2,401247,405245,3998,-,Verified
UBC4,YBR082C,2,406622,407163,541,-,Verified
TEC1,YBR083W,2,409163,410623,1460,+,Verified
MIS1,YBR084W,2,411048,413975,2927,+,Verified
RPL19A,YBR084C-A,2,414180,415255,1075,-,Verified
AAC3,YBR085W,2,415977,416900,923,+,Verified
YBR085C-A,YBR085C-A,2,418901,419158,257,-,Uncharacterized
IST2,YBR086C,2,420195,423035,2840,-,Verified
RFC5,YBR087W,2,423759,424823,1064,+,Verified
POL30,YBR088C,2,424984,425760,776,-,Verified
YBR089W,YBR089W,2,425177,425776,599,+,Dubious
NHP6B,YBR089C-A,2,426184,426867,683,-,Verified
YBR090C,YBR090C,2,426327,427052,725,-,Uncharacterized
MRS5,YBR091C,2,427149,427478,329,-,Verified
PHO3,YBR092C,2,427692,429095,1403,-,Verified
PHO5,YBR093C,2,429542,430945,1403,-,Verified
PBY1,YBR094W,2,432030,434291,2261,+,Verified
RXT2,YBR095C,2,434400,435692,1292,-,Verified
YBR096W,YBR096W,2,436015,436707,692,+,Uncharacterized
VPS15,YBR097W,2,436945,441309,4364,+,Verified
MMS4,YBR098W,2,441509,443584,2075,+,Verified
YBR099C,YBR099C,2,442918,443301,383,-,Dubious
FES1,YBR101C,2,443815,444687,872,-,Verified
EXO84,YBR102C,2,445056,447317,2261,-,Verified
SIF2,YBR103W,2,447703,449310,1607,+,Verified
YBR103C-A,YBR103C-A,2,449314,449457,143,-,Dubious
YMC2,YBR104W,2,449661,450650,989,+,Verified
VID24,YBR105C,2,450875,451963,1088,-,Verified
PHO88,YBR106W,2,452652,453218,566,+,Verified
IML3,YBR107C,2,453787,454524,737,-,Verified
AIM3,YBR108W,2,454816,457659,2843,+,Uncharacterized
CMD1,YBR109C,2,457913,458356,443,-,Verified
YBR109W-A,YBR109W-A,2,458602,458826,224,+,Dubious
ALG1,YBR110W,2,458866,460215,1349,+,Verified
YSA1,YBR111C,2,461172,461867,695,-,Verified
SUS1,YBR111W-A,2,462133,462573,440,+,Verified
CYC8,YBR112C,2,462864,465764,2900,-,Verified
YBR113W,YBR113W,2,465560,466042,482,+,Dubious
RAD16,YBR114W,2,467242,469614,2372,+,Verified
LYS2,YBR115C,2,469742,473920,4178,-,Verified
YBR116C,YBR116C,2,474193,474720,527,-,Dubious
TKL2,YBR117C,2,474386,476431,2045,-,Verified
TEF2,YBR118W,2,477665,479041,1376,+,Verified
MUD1,YBR119W,2,479332,480317,985,+,Verified
CBP6,YBR120C,2,480429,480917,488,-,Verified
GRS1,YBR121C,2,481358,483361,2003,-,Verified
YBR121C-A,YBR121C-A,2,482320,482478,158,-,Dubious
MRPL36,YBR122C,2,483964,484497,533,-,Verified
TFC1,YBR123C,2,484736,486685,1949,-,Verified
YBR124W,YBR124W,2,486501,486860,359,+,Dubious
PTC4,YBR125C,2,487193,488374,1181,-,Verified
TPS1,YBR126C,2,488899,490386,1487,-,Verified
YBR126W-A,YBR126W-A,2,490844,491050,206,+,Dubious
YBR126W-B,YBR126W-B,2,490921,491064,143,+,Dubious
VMA2,YBR127C,2,491263,492816,1553,-,Verified
ATG14,YBR128C,2,493075,494109,1034,-,Verified
OPY1,YBR129C,2,494347,495333,986,-,Verified
SHE3,YBR130C,2,495586,496863,1277,-,Verified
CCZ1,YBR131W,2,497157,499271,2114,+,Verified
YBR131C-A,YBR131C-A,2,497644,497733,89,-,Dubious
AGP2,YBR132C,2,499646,501436,1790,-,Verified
HSL7,YBR133C,2,501798,504281,2483,-,Verified
YBR134W,YBR134W,2,504237,504638,401,+,Dubious
CKS1,YBR135W,2,504848,505300,452,+,Verified
MEC1,YBR136W,2,505662,512768,7106,+,Verified
YBR137W,YBR137W,2,513038,513577,539,+,Uncharacterized
YBR138C,YBR138C,2,513756,515330,1574,-,Uncharacterized
YBR139W,YBR139W,2,515658,517184,1526,+,Verified
IRA1,YBR140C,2,517344,526622,9278,-,Verified
YBR141C,YBR141C,2,527019,528032,1013,-,Uncharacterized
YBR141W-A,YBR141W-A,2,527161,527256,95,+,Dubious
MAK5,YBR142W,2,528311,530632,2321,+,Verified
SUP45,YBR143C,2,530863,532176,1313,-,Verified
YBR144C,YBR144C,2,533229,533543,314,-,Dubious
ADH5,YBR145W,2,533756,534811,1055,+,Verified
MRPS9,YBR146W,2,535254,536090,836,+,Verified
RTC2,YBR147W,2,536569,537459,890,+,Uncharacterized
YSW1,YBR148W,2,537870,539699,1829,+,Verified
ARA1,YBR149W,2,539981,541015,1034,+,Verified
TBS1,YBR150C,2,541203,544487,3284,-,Verified
APD1,YBR151W,2,545022,545972,950,+,Verified
SPP381,YBR152W,2,546370,547245,875,+,Verified
RIB7,YBR153W,2,547454,548188,734,+,Verified
RPB5,YBR154C,2,548356,549003,647,-,Verified
CNS1,YBR155W,2,549765,550922,1157,+,Verified
SLI15,YBR156C,2,551098,553194,2096,-,Verified
ICS2,YBR157C,2,553537,554304,767,-,Verified
AMN1,YBR158W,2,556543,558192,1649,+,Verified
IFA38,YBR159W,2,558679,559722,1043,+,Verified
CDC28,YBR160W,2,560072,560968,896,+,Verified
CSH1,YBR161W,2,561629,562759,1130,+,Verified
TOS1,YBR162C,2,563198,564565,1367,-,Verified
YSY6,YBR162W-A,2,565226,565423,197,+,Verified
DEM1,YBR163W,2,565718,567475,1757,+,Verified
ARL1,YBR164C,2,567870,568421,551,-,Verified
UBS1,YBR165W,2,568847,569680,833,+,Verified
TYR1,YBR166C,2,569837,571195,1358,-,Verified
POP7,YBR167C,2,571463,571885,422,-,Verified
PEX32,YBR168W,2,572366,573607,1241,+,Verified
SSE2,YBR169C,2,573910,575991,2081,-,Verified
NPL4,YBR170C,2,576339,578081,1742,-,Verified
SEC66,YBR171W,2,578359,578979,620,+,Verified
SMY2,YBR172C,2,579145,581367,2222,-,Verified
UMP1,YBR173C,2,581721,582167,446,-,Verified
YBR174C,YBR174C,2,582333,582647,314,-,Dubious
SWD3,YBR175W,2,582403,583350,947,+,Verified
ECM31,YBR176W,2,583715,584653,938,+,Verified
EHT1,YBR177C,2,584802,586157,1355,-,Verified
YBR178W,YBR178W,2,586066,586440,374,+,Dubious
FZO1,YBR179C,2,586542,589109,2567,-,Verified
DTR1,YBR180W,2,589736,591454,1718,+,Verified
RPS6B,YBR181C,2,591707,592769,1062,-,Verified
SMP1,YBR182C,2,593501,594859,1358,-,Verified
YBR182C-A,YBR182C-A,2,595356,595550,194,-,Uncharacterized
YPC1,YBR183W,2,596110,597060,950,+,Verified
YBR184W,YBR184W,2,597358,598929,1571,+,Uncharacterized
MBA1,YBR185C,2,599118,599954,836,-,Verified
PCH2,YBR186W,2,600548,602355,1807,+,Verified
GDT1,YBR187W,2,602629,603471,842,+,Uncharacterized
NTC20,YBR188C,2,603680,604102,422,-,Verified
RPS9B,YBR189W,2,604503,605503,1000,+,Verified
YBR190W,YBR190W,2,605961,606272,311,+,Dubious
RPL21A,YBR191W,2,606265,607135,870,+,Verified
YBR191W-A,YBR191W-A,2,607144,607218,74,+,Dubious
RIM2,YBR192W,2,607647,608780,1133,+,Verified
MED8,YBR193C,2,609077,609748,671,-,Verified
AIM4,YBR194W,2,610033,610404,371,+,Uncharacterized
MSI1,YBR195C,2,610609,611877,1268,-,Verified
PGI1,YBR196C,2,612231,613895,1664,-,Verified
YBR196C-A,YBR196C-A,2,614019,614168,149,-,Uncharacterized
YBR196C-B,YBR196C-B,2,614521,614625,104,-,Uncharacterized
YBR197C,YBR197C,2,615198,615851,653,-,Uncharacterized
TAF5,YBR198C,2,616122,618518,2396,-,Verified
KTR4,YBR199W,2,618904,620298,1394,+,Verified
BEM1,YBR200W,2,620867,622522,1655,+,Verified
YBR200W-A,YBR200W-A,2,622978,623142,164,+,Uncharacterized
DER1,YBR201W,2,623572,624207,635,+,Verified
YBR201C-A,YBR201C-A,2,624489,624692,203,-,Uncharacterized
MCM7,YBR202W,2,625767,628304,2537,+,Verified
COS111,YBR203W,2,629163,631937,2774,+,Verified
YBR204C,YBR204C,2,632249,633376,1127,-,Uncharacterized
KTR3,YBR205W,2,633617,634831,1214,+,Verified
YBR206W,YBR206W,2,634596,634919,323,+,Dubious
FTH1,YBR207W,2,635141,636538,1397,+,Verified
DUR1%2C2,YBR208C,2,636698,642205,5507,-,Verified
YBR209W,YBR209W,2,642578,642895,317,+,Dubious
ERV15,YBR210W,2,645545,645973,428,+,Verified
AME1,YBR211C,2,646153,647127,974,-,Verified
NGR1,YBR212W,2,647881,649899,2018,+,Verified
MET8,YBR213W,2,650363,651187,824,+,Verified
SDS24,YBR214W,2,651410,652993,1583,+,Verified
HPC2,YBR215W,2,653351,655312,1961,+,Verified
YBP1,YBR216C,2,655571,657595,2024,-,Verified
ATG12,YBR217W,2,657827,658387,560,+,Verified
